,season,age,team_id,lg_id,pos,g,mp,per,ts_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,ws-dum,ows,dws,ws,ws_per_48,id
150,1946-47,25,TRH,BAA,,6,,,.444,.800,,,,,,0.1,0.0,0.1,,biasaha01
151,1968-69,23,PHO,NBA,,7,18,2.7,.231,1.000,,,,18.6,,-0.1,0.0,-0.1,-0.248,biedeed01
152,1955-56,,FTW,NBA,,7,38,12.2,.579,.778,,,,,,0.1,0.0,0.2,.198,bielkdo01
153,1958-59,23,NYK,NBA,,11,45,12.9,.385,.031,,,,,,-0.1,0.0,0.0,-0.043,birdje01
154,1948-49,26,PHW,BAA,,56,,,.384,.373,,,,,,1.1,1.7,2.8,,bishoga01
155,1948-49,27,TOT,BAA,,58,,,.346,.421,,,,,,-0.9,2.8,1.8,,blackch01
156,1948-49,27,INJ,BAA,,41,,,.338,.419,,,,,,-1.1,2.0,0.9,,blackch01
157,1948-49,27,FTW,BAA,,17,,,.377,.428,,,,,,0.2,0.8,1.0,,blackch01
158,1949-50,28,TOT,NBA,,65,,,.346,.395,,,,,,-2.2,5.0,2.8,,blackch01
159,1949-50,28,FTW,NBA,,36,,,.362,.480,,,,,,-0.7,2.2,1.5,,blackch01
160,1949-50,28,AND,NBA,,29,,,.326,.296,,,,,,-1.5,2.8,1.3,,blackch01
161,1951-52,30,MLH,NBA,,13,117,1.1,.234,.387,,,,,,-0.5,0.1,-0.4,-0.148,blackch01
162,1970-71,29,TOT,NBA,C,71,873,9.6,.440,.292,,,13.6,6.4,,-0.4,0.5,0.1,.008,blackto01
163,1970-71,29,SEA,NBA,C,55,773,10.2,.455,.272,,,13.3,6.9,,-0.1,0.4,0.3,.021,blackto01
164,1970-71,29,CIN,NBA,C,16,100,4.3,.328,.455,,,15.3,2.3,,-0.3,0.1,-0.2,-0.098,blackto01
165,1961-62,22,NYK,NBA,PG,36,363,7.8,.391,.120,,,,,,-0.4,0.3,-0.1,-0.014,blanege01
166,1950-51,24,INO,NBA,,2,,,.225,.250,,,,,,-0.1,0.0,0.0,,blevile01
167,1947-48,33,TOT,BAA,,48,,,.343,.358,,,,,,2.1,0.8,2.8,,bloommi01
168,1947-48,33,BLB,BAA,,34,,,.347,.365,,,,,,1.7,0.7,2.4,,bloommi01
169,1947-48,33,BOS,BAA,,14,,,.332,.337,,,,,,0.4,0.1,0.5,,bloommi01
170,1948-49,34,TOT,BAA,,45,,,.295,.409,,,,,,-1.0,0.7,-0.3,,bloommi01
171,1948-49,34,MNL,BAA,,24,,,.251,.435,,,,,,-0.9,0.2,-0.6,,bloommi01
172,1948-49,34,CHS,BAA,,21,,,.341,.382,,,,,,-0.1,0.4,0.3,,bloommi01
173,1949-50,25,PHW,NBA,PG,57,,,.396,.528,,,,,,0.4,1.3,1.8,,bobbne01
174,1950-51,26,PHW,NBA,PG,53,,,.384,.500,,,,,,0.0,1.0,1.1,,bobbne01
175,1951-52,27,PHW,NBA,PG,62,1192,10.9,.420,.546,,,,,,0.7,0.4,1.2,.048,bobbne01
176,1952-53,28,PHW,NBA,PG,55,1286,13.5,.441,.509,,,,,,1.2,0.8,2.0,.075,bobbne01
177,1958-59,25,CIN,NBA,SG,71,2251,11.1,.423,.254,,,,,,0.3,0.8,1.1,.023,bockhbu01
178,1959-60,26,CIN,NBA,SG,75,2103,11.3,.441,.239,,,,,,0.9,0.5,1.3,.031,bockhbu01
179,1960-61,27,CIN,NBA,SG,79,2669,10.4,.431,.196,,,,,,0.1,0.1,0.3,.005,bockhbu01
180,1961-62,28,CIN,NBA,SG,80,3062,11.0,.469,.203,,,,,,2.0,1.1,3.1,.049,bockhbu01
181,1962-63,29,CIN,NBA,SG,80,2612,9.2,.440,.254,,,,,,-0.7,1.2,0.5,.010,bockhbu01
182,1963-64,30,CIN,NBA,SG,70,1670,9.3,.451,.215,,,,,,0.3,1.2,1.5,.042,bockhbu01
183,1964-65,31,CIN,NBA,SG,19,424,9.1,.425,.248,,,,14.0,,-0.1,0.2,0.1,.008,bockhbu01
184,1953-54,22,BLB,NBA,SF,20,202,10.7,.433,.220,,,,,,0.1,0.1,0.2,.039,bolgebi01
185,1957-58,26,DET,NBA,,3,21,2.2,.400,.000,,,,,,0.0,0.0,0.0,-0.004,bolstdo01
186,1961-62,26,CHP,NBA,PF,3,9,0.1,.250,.000,,,,,,-0.1,0.0,-0.1,-0.429,bonsage01
187,1960-61,23,CIN,NBA,PF,79,1573,13.0,.468,.410,,,,,,1.3,0.1,1.4,.042,boozebo01
188,1961-62,24,CIN,NBA,PF,79,2488,13.3,.492,.397,,,,,,2.8,1.1,3.9,.075,boozebo01
189,1962-63,25,CIN,NBA,PF,79,2488,14.4,.493,.356,,,,,,2.3,1.6,3.9,.075,boozebo01
190,1963-64,26,TOT,NBA,SF,81,2379,14.4,.479,.343,,,,,,2.1,0.7,2.8,.056,boozebo01
191,1963-64,26,CIN,NBA,SF,32,727,12.8,.456,.356,,,,,,0.1,0.6,0.7,.049,boozebo01
192,1963-64,26,NYK,NBA,SF,49,1652,15.2,.489,.337,,,,,,1.9,0.1,2.0,.059,boozebo01
193,1964-65,27,NYK,NBA,SF,80,2139,17.8,.504,.389,,,,7.7,,3.9,1.4,5.3,.119,boozebo01
194,1965-66,28,LAL,NBA,PF,78,1847,16.4,.542,.383,,,,6.4,,4.3,1.6,5.8,.151,boozebo01
195,1966-67,29,CHI,NBA,PF,80,2451,18.4,.549,.418,,,,5.3,,6.6,2.9,9.4,.184,boozebo01
196,,30,CHI,NBA,PF,77,2988,18.6,.552,.423,,,,6.0,,7.7,2.9,10.6,.170,boozebo01
197,1968-69,31,CHI,NBA,PF,79,2872,19.9,.540,.356,,,,8.8,,8.0,3.5,11.6,.193,boozebo01
198,1969-70,32,SEA,NBA,PF,82,2549,15.2,.545,.318,,,,5.8,,4.4,1.5,5.9,.111,boozebo01
199,1970-71,33,MIL,NBA,PF,80,1775,13.1,.502,.281,,,11.6,8.6,,1.7,2.1,3.7,.101,boozebo01
200,1948-49,21,PHW,BAA,,15,,,.361,.266,,,,,,0.0,0.5,0.4,,bornhja01
201,1949-50,22,PHW,NBA,,60,,,.356,.384,,,,,,-0.7,1.5,0.8,,bornhja01
202,1950-51,26,PHW,NBA,,24,,,.391,.243,,,,,,-0.1,0.2,0.1,,borsaik01
203,1949-50,22,NYK,NBA,SF,59,,,.426,.445,,,,,,2.6,1.4,3.9,,borylvi01
204,,23,NYK,NBA,SF,66,,,.485,.383,,,,,,6.4,1.0,7.4,,borylvi01
205,1951-52,24,NYK,NBA,SF,42,1440,12.8,.437,.220,,,,,,1.2,0.9,2.1,.069,borylvi01
206,1952-53,25,NYK,NBA,SF,66,2200,11.2,.435,.293,,,,,,1.4,2.2,3.6,.078,borylvi01
207,1953-54,26,NYK,NBA,SF,52,1522,6.8,.375,.154,,,,,,-1.6,0.7,-1.0,-0.031,borylvi01
208,1949-50,24,WAT,NBA,,62,,,.461,.625,,,,,,4.4,-0.7,3.8,,bovendo01
209,1951-52,26,MLH,NBA,SG,66,1982,12.4,.399,.524,,,,,,-0.2,1.7,1.5,.036,bovendo01
210,1952-53,27,TOT,NBA,SF,67,1373,11.3,.435,.489,,,,,,0.9,1.3,2.2,.075,bovendo01
211,1952-53,27,MLH,NBA,,27,667,13.2,.453,.489,,,,,,0.8,0.8,1.7,.119,bovendo01
212,1952-53,27,BLB,NBA,,23,329,10.6,.431,.608,,,,,,0.2,0.1,0.3,.039,bovendo01
213,1952-53,27,FTW,NBA,SF,17,377,8.7,.400,.387,,,,,,-0.1,0.3,0.2,.029,bovendo01
214,1949-50,27,WAT,NBA,,61,,,.479,.375,,,,,,6.0,-0.7,5.3,,boykoha01
215,1950-51,28,TOT,NBA,,48,,,.429,.298,,,,,,0.8,0.8,1.7,,boykoha01
216,1950-51,28,BOS,NBA,,32,,,.436,.310,,,,,,0.6,0.4,1.0,,boykoha01
217,1950-51,28,TRI,NBA,,16,,,.419,.278,,,,,,0.2,0.5,0.7,,boykoha01
218,1949-50,21,CHS,NBA,,46,,,.289,.284,,,,,,-1.0,0.7,-0.3,,bradljo01
219,1949-50,24,SHE,NBA,PF,59,,,.408,.494,,,,,,2.1,-0.5,1.6,,brannbo01
220,1951-52,26,BOS,NBA,PF,66,1324,12.4,.423,.423,,,,,,0.5,1.5,2.0,.074,brannbo01
221,1952-53,27,BOS,NBA,PF,71,1900,11.7,.390,.342,,,,,,-0.8,1.7,0.8,.021,brannbo01
222,1953-54,28,BOS,NBA,PF,71,1729,10.5,.376,.455,,,,,,-1.1,1.1,0.0,.000,brannbo01
223,1954-55,29,BOS,NBA,PF,71,1623,10.8,.424,.273,,,,,,0.2,0.9,1.1,.032,brannbo01
224,1952-53,21,TOT,NBA,,20,248,7.6,.353,.362,,,,,,-0.5,0.3,-0.2,-0.036,brascji01
225,1952-53,21,SYR,NBA,,10,111,5.1,.305,.292,,,,,,-0.4,0.1,-0.3,-0.119,brascji01
226,1952-53,21,MLH,NBA,,10,137,9.7,.401,.435,,,,,,0.0,0.1,0.1,.031,brascji01
227,1947-48,20,NYK,BAA,,47,,,.359,.214,,,,,,3.8,2.4,6.2,,braunca01
228,1948-49,21,NYK,BAA,,57,,,.394,.308,,,,,,2.8,2.5,5.3,,braunca01
229,1949-50,22,NYK,NBA,,67,,,.434,.365,,,,,,5.2,1.9,7.2,,braunca01
230,,25,NYK,NBA,SG,70,2316,17.5,.497,.497,,,,,,6.5,2.5,9.0,.186,braunca01
231,,26,NYK,NBA,SG,72,2373,17.8,.495,.485,,,,,,7.2,1.3,8.6,.173,braunca01
232,,27,NYK,NBA,SG,71,2479,14.6,.454,.331,,,,,,2.8,1.9,4.7,.091,braunca01
233,,28,NYK,NBA,SG,72,2316,15.2,.451,.359,,,,,,2.4,1.2,3.6,.075,braunca01
234,,29,NYK,NBA,PG,72,2345,13.8,.444,.305,,,,,,2.3,1.4,3.7,.077,braunca01
235,1957-58,30,NYK,NBA,PG,71,2475,17.5,.495,.371,,,,,,5.9,1.7,7.6,.147,braunca01
236,1958-59,31,NYK,NBA,PG,72,1959,15.2,.483,.319,,,,,,3.2,1.3,4.5,.111,braunca01
237,1959-60,32,NYK,NBA,PG,54,1514,15.0,.481,.234,,,,,,2.3,0.6,3.0,.095,braunca01
238,1960-61,33,NYK,NBA,PG,15,218,14.8,.499,.177,,,,,,0.4,0.1,0.4,.097,braunca01
239,1961-62,34,BOS,NBA,PG,48,414,10.7,.402,.130,,,,,,-0.4,0.9,0.5,.053,braunca01
240,1958-59,22,NYK,NBA,,16,136,7.2,.370,.581,,,,,,-0.2,0.1,-0.1,-0.030,brennpe01
241,1954-55,24,PHW,NBA,SF,11,52,5.6,.455,.000,,,,,,0.0,0.0,0.1,.048,brennto01
242,1949-50,26,AND,NBA,,64,,,.415,.422,,,,,,3.6,5.6,9.2,,brianfr01
243,,27,TRI,NBA,,68,,,.424,.451,,,,,,2.9,2.7,5.6,,brianfr01
244,,28,FTW,NBA,SG,66,2672,14.8,.452,.445,,,,,,4.3,1.8,6.1,.110,brianfr01
245,1952-53,29,FTW,NBA,SG,68,1910,12.2,.438,.425,,,,,,1.6,1.4,3.0,.076,brianfr01
246,1953-54,30,FTW,NBA,SG,64,973,15.6,.464,.517,,,,,,2.0,0.8,2.7,.135,brianfr01
247,1954-55,31,FTW,NBA,SG,71,1381,15.7,.470,.409,,,,,,2.5,1.2,3.6,.127,brianfr01
248,1955-56,32,FTW,NBA,PG,37,680,9.4,.378,.335,,,,,,-0.8,0.6,-0.2,-0.016,brianfr01
249,1946-47,23,BOS,BAA,,58,,,.297,.222,,,,,,-0.5,0.9,0.4,,brighal01
250,1946-47,23,NYK,BAA,,12,,,.326,.143,,,,,,0.1,0.1,0.2,,brindau01
251,1967-68,23,SDR,NBA,SG,11,84,9.5,.396,.088,,,,19.1,,-0.1,0.1,0.0,-0.020,brittty01
