,season,school_name,conf_abbr,g,gs,mp,fg_per_poss,fga_per_poss,fg_pct,fg2_per_poss,fg2a_per_poss,fg2_pct,fg3_per_poss,fg3a_per_poss,fg3_pct,ft_per_poss,fta_per_poss,ft_pct,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,poss-dum,off_rtg,def_rtg,id,cbb_id
204,2014-15,BYU,WCC,33,33,1019,8.8,18.6,.472,8.4,17.4,.484,0.3,1.2,.286,7.4,10.1,.736,15.9,10.9,3.3,0.6,5.3,4.1,25.3,,115.7,97.8,colliky01,kyle-collinsworth-1
205,2015-16,BYU,WCC,37,36,1249,8.9,19.2,.464,8.5,17.6,.484,0.4,1.6,.243,6.3,9.7,.652,13.1,11.9,3.2,0.9,5.5,3.2,24.5,,110.7,95.5,colliky01,kyle-collinsworth-1
206,2011-12,Notre Dame,Big East,34,18,820,6.7,15.9,.423,3.5,6.4,.543,3.2,9.5,.342,2.2,2.9,.757,11.9,2.4,1.3,0.4,2.0,3.6,18.9,,111.1,100.3,connapa01,pat-connaughton-1
207,2012-13,Notre Dame,Big East,35,35,1123,6.3,14.1,.445,2.9,5.2,.560,3.3,8.8,.377,2.0,2.8,.708,9.4,4.3,0.9,0.7,1.8,3.1,17.8,,120.3,103.2,connapa01,pat-connaughton-1
208,2013-14,Notre Dame,ACC,32,32,1190,8.1,18.0,.452,4.1,7.5,.556,4.0,10.6,.378,2.9,3.5,.833,11.9,5.0,1.7,0.9,1.8,3.0,23.2,,125.6,107.8,connapa01,pat-connaughton-1
209,2014-15,Notre Dame,ACC,38,38,1351,7.7,16.5,.466,3.4,6.3,.537,4.3,10.2,.423,2.3,3.0,.781,13.1,2.6,1.3,1.7,2.0,3.5,22.1,,122.1,101.0,connapa01,pat-connaughton-1
210,2011-12,Duke,ACC,33,4,387,7.1,17.5,.405,5.0,9.1,.550,2.1,8.5,.250,5.7,7.4,.776,5.1,9.5,2.1,0.3,2.7,3.9,22.1,,120.9,104.2,cookqu01,quinn-cook-1
211,2012-13,Duke,ACC,36,34,1208,7.3,17.6,.416,4.7,10.8,.430,2.7,6.8,.393,3.1,3.5,.877,6.7,9.2,2.5,0.2,3.8,4.7,20.4,,110.4,98.2,cookqu01,quinn-cook-1
212,2013-14,Duke,ACC,35,22,1042,8.0,18.6,.432,4.2,8.3,.507,3.8,10.3,.371,3.9,4.8,.827,4.5,9.0,2.8,0.1,3.3,3.9,23.9,,122.1,106.0,cookqu01,quinn-cook-1
213,2014-15,Duke,ACC,39,39,1396,8.6,19.1,.453,4.2,7.9,.536,4.4,11.2,.395,4.3,4.8,.891,5.7,4.5,1.7,0.0,2.0,3.3,26.0,,129.6,101.7,cookqu01,quinn-cook-1
214,2012-13,James Madison,CAA,32,11,729,5.3,13.3,.397,3.3,7.3,.459,2.0,6.1,.324,3.3,4.7,.691,7.5,2.6,1.8,1.7,1.5,3.0,15.8,,110.5,104.6,cookech01,charles-cooke-1
215,2013-14,James Madison,CAA,30,28,1052,7.6,18.4,.415,6.0,12.9,.466,1.6,5.5,.298,8.2,11.5,.718,8.8,3.0,2.5,0.7,4.3,4.1,25.1,,103.3,106.5,cookech01,charles-cooke-1
216,2015-16,Dayton,A-10,32,31,1029,9.2,20.7,.447,5.9,12.3,.479,3.3,8.4,.399,6.5,9.5,.689,10.6,3.3,2.3,2.2,3.2,3.5,28.3,,112.3,93.9,cookech01,charles-cooke-1
217,2016-17,Dayton,A-10,29,27,915,9.5,20.9,.455,6.4,13.2,.488,3.1,7.7,.398,6.7,9.5,.702,9.4,5.2,2.0,1.8,3.8,3.5,28.8,,110.7,96.3,cookech01,charles-cooke-1
218,2009-10,Notre Dame,Big East,21,0,111,4.5,11.3,.400,4.5,11.3,.400,0.0,0.0,,2.3,6.8,.333,20.8,0.6,1.7,2.8,2.3,10.7,11.3,,105.3,104.0,cooleja01,jack-cooley-1
219,2010-11,Notre Dame,Big East,34,0,351,9.8,14.9,.655,9.8,14.9,.655,0.0,0.0,,2.7,5.1,.517,18.8,2.0,1.4,3.2,2.0,9.0,22.2,,133.7,98.2,cooleja01,jack-cooley-1
220,2011-12,Notre Dame,Big East,33,31,947,10.8,17.4,.625,10.8,17.4,.625,0.0,0.0,,6.7,10.0,.676,20.2,1.7,1.4,3.6,3.1,6.0,28.4,,127.7,95.6,cooleja01,jack-cooley-1
221,2012-13,Notre Dame,Big East,35,35,1026,10.9,18.8,.579,10.8,18.7,.579,0.1,0.1,.500,7.0,9.9,.703,22.3,1.8,1.4,2.6,3.1,5.8,28.8,,125.2,95.3,cooleja01,jack-cooley-1
222,2012-13,Michigan State,Big Ten,30,0,184,5.0,10.8,.469,5.0,10.8,.469,0.0,0.0,,4.7,5.7,.824,13.4,1.7,2.0,4.4,2.4,12.1,14.8,,113.1,88.3,costema01,matt-costello-1
223,2013-14,Michigan State,Big Ten,34,21,501,6.3,10.5,.598,6.3,10.5,.598,0.0,0.0,,4.0,6.1,.660,13.7,3.3,1.1,5.2,2.7,8.5,16.6,,124.7,97.6,costema01,matt-costello-1
224,2014-15,Michigan State,Big Ten,39,6,794,8.8,15.2,.579,8.8,14.9,.591,0.0,0.3,.000,4.2,6.3,.671,16.2,2.3,1.3,3.8,2.5,8.6,21.8,,122.9,95.8,costema01,matt-costello-1
225,2015-16,Michigan State,Big Ten,35,35,802,11.0,19.7,.561,10.9,19.1,.570,0.1,0.6,.250,5.7,7.5,.752,21.5,3.4,1.7,3.1,2.8,5.6,27.9,,127.6,89.9,costema01,matt-costello-1
226,2010-11,Providence,Big East,31,1,473,4.8,12.4,.387,3.2,6.1,.519,1.6,6.3,.259,3.4,4.3,.784,5.6,1.8,2.5,0.0,1.1,2.0,14.7,,116.5,108.5,cottobr01,bryce-cotton-1
227,2011-12,Providence,Big East,32,32,1234,7.1,17.3,.413,3.3,7.3,.459,3.8,10.0,.379,4.4,5.0,.891,4.0,3.5,1.6,0.2,2.6,2.5,22.5,,117.4,112.5,cottobr01,bryce-cotton-1
228,2012-13,Providence,Big East,32,31,1209,9.8,22.4,.437,4.9,8.9,.548,4.9,13.5,.364,7.1,9.0,.798,5.8,4.6,1.5,0.2,2.4,1.9,31.7,,126.9,103.7,cottobr01,bryce-cotton-1
229,2013-14,Providence,Big East,35,35,1398,10.1,24.2,.419,6.7,15.0,.451,3.4,9.3,.367,10.0,11.7,.853,5.5,9.0,1.5,0.1,3.7,2.2,33.7,,122.6,109.4,cottobr01,bryce-cotton-1
230,2009-10,Tennessee State,OVC,32,28,873,9.0,21.0,.428,6.5,14.5,.447,2.5,6.4,.385,4.2,5.3,.797,13.9,2.5,2.3,2.3,4.8,6.0,24.6,,102.0,103.3,covinro01,robert-covington-1
231,2010-11,Tennessee State,OVC,30,30,923,9.8,19.6,.498,7.2,13.9,.514,2.6,5.7,.460,4.0,5.1,.782,14.8,2.3,3.0,2.0,4.7,6.8,26.2,,110.5,96.7,covinro01,robert-covington-1
