,season,school_name,conf_abbr,g,gs,mp,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,id,cbb_id
920,1975-76,Villanova,Ind,27,,,.571,,.688,,,,,,,,olivejo01,john-olive-1
921,1976-77,Villanova,ECBL,33,,,.554,,.542,,,,,,,,olivejo01,john-olive-1
922,1976-77,Syracuse,Ind,30,,,.609,,.516,,,,,,,,orrlo01,louis-orr-1
923,1977-78,Syracuse,Ind,28,,,.541,,.195,,,,,,,,orrlo01,louis-orr-1
924,1978-79,Syracuse,Ind,28,,,.608,,.472,,,,,,,,orrlo01,louis-orr-1
925,1979-80,Syracuse,Big East,30,,,.616,,.358,,,,,,,,orrlo01,louis-orr-1
926,1973-74,UNLV,WCAC,26,,,.531,,.243,,,,,,,,owensed01,eddie-owens-2
927,1974-75,UNLV,WCAC,29,,854,.537,,.347,,,,,,12.5,,owensed01,eddie-owens-2
928,1975-76,UNLV,Ind,31,,823,.569,,.241,,,,,,9.4,,owensed01,eddie-owens-2
929,1976-77,UNLV,Ind,32,,897,.563,,.289,,,,,,10.3,,owensed01,eddie-owens-2
930,1968-69,South Carolina,ACC,28,,,.551,,.504,,,,,,,,owensto01,tom-owens-1
931,1969-70,South Carolina,ACC,28,,,.515,,.421,,,,,,,,owensto01,tom-owens-1
932,1970-71,South Carolina,ACC,28,,,.540,,.562,,,,,,,,owensto01,tom-owens-1
933,1972-73,Centenary (LA),Ind,27,,885,.584,,.167,,,,,,,,parisro01,robert-parish-1
934,1973-74,Centenary (LA),Ind,25,,841,.534,,.182,,,,,,,,parisro01,robert-parish-1
935,1974-75,Centenary (LA),Ind,29,,900,.575,,.265,,,,,,15.0,,parisro01,robert-parish-1
936,1975-76,Centenary (LA),Ind,27,,939,.605,,.274,,,,,,,,parisro01,robert-parish-1
937,1974-75,Texas A&M,SWC,27,,784,.542,,.224,,,,,,,,parkeso01,sonny-parker-1
938,1975-76,Texas A&M,SWC,27,,897,.539,,.249,,,,,,13.6,,parkeso01,sonny-parker-1
939,1947-48,Kentucky,SEC,,,,.214,,.103,,,,,,,,parkija01,jack-parkinson-1
940,1974-75,Auburn,SEC,26,,,.463,,.152,,,,,,19.4,,patrimy01,myles-patrick-1
941,1975-76,Auburn,SEC,26,,,.569,,.437,,,,,,,,patrimy01,myles-patrick-1
942,1976-77,Auburn,SEC,26,,,.562,,.428,,,,,,,,patrimy01,myles-patrick-1
943,1977-78,Auburn,SEC,27,,,.580,,.403,,,,,,,,patrimy01,myles-patrick-1
944,1968-69,St. John's (NY),Ind,28,,,.539,,.392,,,,,,,,paultbi01,billy-paultz-1
945,1969-70,St. John's (NY),Ind,29,,,.516,,.371,,,,,,,,paultbi01,billy-paultz-1
946,1951-52,Dayton,Ind,32,,,.390,,.299,,,,,,,,paxsoji01,jim-paxson-2
947,1952-53,Dayton,Ind,28,,,.382,,.422,,,,,,,,paxsoji01,jim-paxson-2
948,1955-56,Dayton,Ind,28,,,.455,,.443,,,,,,,,paxsoji01,jim-paxson-2
949,1975-76,Dayton,Ind,27,,1061,.515,,.237,,,,,,,,paxsoji02,jim-paxson-1
950,1976-77,Dayton,Ind,27,,1012,.573,,.217,,,,,,,,paxsoji02,jim-paxson-1
951,1977-78,Dayton,Ind,29,,1066,.557,,.288,,,,,,,,paxsoji02,jim-paxson-1
952,1978-79,Dayton,Ind,25,,929,.566,,.298,,,,,,,,paxsoji02,jim-paxson-1
953,1975-76,Mississippi State,SEC,25,,706,.533,,.357,,,,,,,,peckwi01,wiley-peck-1
