,season,age,team_id,lg_id,pos,g,gs,mp,fg_per_poss,fga_per_poss,fg_pct,ft_per_poss,fta_per_poss,ft_pct,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,,off_rtg,def_rtg,id
72,1975-76,25,NOJ,NBA,PF,67,,1850,5.3,11.6,.451,1.4,2.2,.663,3.0,7.2,10.2,2.1,1.4,0.7,,5.5,11.9,,,97,colemec01
73,1976-77,26,NOJ,NBA,PF,77,,2369,5.5,11.9,.462,1.5,2.1,.732,2.8,7.5,10.4,1.9,1.2,0.6,,5.3,12.5,,,99,colemec01
74,1977-78,27,GSW,NBA,PF,72,,1801,5.3,11.2,.475,1.0,1.4,.727,2.9,6.5,9.5,2.5,1.7,0.6,2.4,6.4,11.7,,97,100,colemec01
75,1978-79,28,HOU,NBA,PF,6,,39,5.9,8.3,.714,1.2,1.2,1.000,1.2,7.1,8.3,1.2,2.4,0.0,0.0,13.0,13.0,,159,105,colemec01
76,1976-77,21,BOS,NBA,SF,25,,138,8.7,23.3,.375,2.9,5.5,.529,3.2,5.5,8.7,1.6,3.2,1.0,,8.7,20.4,,,94,cookno01
77,1977-78,22,DEN,NBA,SF,2,,10,4.4,13.3,.333,0.0,0.0,,4.4,8.9,13.3,4.4,0.0,0.0,0.0,17.7,8.9,,101,103,cookno01
78,1977-78,23,GSW,NBA,SF,43,,453,6.9,17.3,.399,5.8,10.0,.580,4.2,10.1,14.3,1.2,2.1,1.0,3.6,8.2,19.6,,90,96,coxwe01
79,1978-79,24,GSW,NBA,SF,31,,360,6.9,16.0,.431,5.2,12.0,.435,2.3,5.9,8.2,1.4,1.7,0.7,5.7,8.9,19.0,,78,102,coxwe01
80,1977-78,23,NJN,NBA,SF,15,,154,9.8,22.5,.438,3.9,5.6,.700,3.9,3.7,7.6,2.2,1.4,0.3,3.4,6.7,23.6,,95,104,crowma01
81,1973-74,22,GSW,NBA,PF,66,,930,5.4,11.0,.494,2.4,3.1,.773,5.8,10.2,16.1,2.6,0.8,0.7,,5.3,13.3,,,98,dickede01
82,1974-75,23,GSW,NBA,PF,80,,1859,6.6,13.7,.482,1.6,2.4,.667,4.6,8.6,13.2,3.0,1.2,0.5,,4.8,14.7,,,98,dickede01
83,1975-76,24,GSW,NBA,PF,79,,1207,8.1,17.4,.465,2.3,2.9,.785,4.2,8.6,12.8,3.0,1.0,0.4,,5.2,18.4,,,96,dickede01
84,1976-77,25,GSW,NBA,PF,49,,856,8.2,18.0,.458,2.3,3.2,.738,5.2,7.3,12.5,3.3,1.0,0.6,,5.3,18.8,,,101,dickede01
85,1977-78,26,TOT,NBA,PF,47,,493,8.1,18.5,.439,2.8,3.4,.833,3.4,5.7,9.1,2.0,1.3,0.4,3.7,5.2,19.1,,92,102,dickede01
86,1977-78,26,GSW,NBA,PF,22,,273,10.0,21.6,.462,2.7,2.8,.941,3.5,4.6,8.1,1.8,1.7,0.3,2.8,4.8,22.6,,99,101,dickede01
87,1977-78,26,CHI,NBA,PF,25,,220,5.8,14.6,.397,3.0,4.1,.737,3.2,7.1,10.3,2.1,0.9,0.4,4.9,5.8,14.6,,82,104,dickede01
88,1973-74,23,BUF,NBA,PG,81,,2910,7.8,18.6,.421,2.6,2.9,.902,0.7,2.5,3.2,9.8,0.9,0.1,,3.6,18.2,,,105,digreer01
89,1974-75,24,BUF,NBA,PG,31,,712,6.4,14.6,.440,2.2,2.8,.778,0.4,2.4,2.8,9.5,1.2,0.0,,3.9,15.1,,,102,digreer01
90,1975-76,25,BUF,NBA,PG,67,,1364,5.9,15.4,.384,2.8,3.1,.915,0.5,3.2,3.6,8.6,1.2,0.0,,5.1,14.6,,,102,digreer01
91,1976-77,26,BUF,NBA,PG,81,,2267,7.2,17.3,.417,2.7,2.9,.945,1.0,2.6,3.6,7.5,1.1,0.1,,3.0,17.1,,,106,digreer01
92,1977-78,27,TOT,NBA,PG,52,,606,6.6,15.6,.421,2.1,2.5,.848,0.5,3.2,3.7,10.2,1.3,0.1,6.9,3.3,15.2,,82,104,digreer01
93,1977-78,27,LAL,NBA,PG,25,,332,5.6,13.6,.410,2.2,2.7,.800,0.7,2.5,3.1,9.7,0.8,0.0,6.3,3.0,13.4,,82,107,digreer01
94,1977-78,27,BOS,NBA,PG,27,,274,7.8,18.0,.431,2.0,2.1,.923,0.3,4.1,4.5,10.9,2.0,0.2,7.8,3.6,17.5,,82,102,digreer01
95,1974-75,24,GSW,NBA,PG,67,,756,6.0,12.8,.470,4.1,5.7,.722,3.6,5.0,8.6,6.1,2.4,0.1,,6.2,16.2,,,99,dudlech01
96,1975-76,25,GSW,NBA,PG,82,,1456,5.5,10.5,.528,4.8,7.5,.641,3.4,4.8,8.2,7.3,2.3,0.1,,5.2,15.9,,,96,dudlech01
97,1976-77,26,GSW,NBA,PG,79,,1682,5.8,11.1,.523,3.4,5.4,.635,3.2,4.7,7.8,9.2,1.8,0.2,,4.5,15.1,,,102,dudlech01
98,1977-78,27,GSW,NBA,PG,78,,1660,3.5,6.8,.510,3.8,5.3,.708,2.3,5.5,7.8,11.2,1.9,0.1,4.4,4.9,10.7,,105,101,dudlech01
99,1978-79,28,CHI,NBA,PG,43,,684,3.1,8.5,.360,1.9,2.9,.667,1.7,4.2,5.9,7.9,2.2,0.1,4.4,5.6,8.0,,83,105,dudlech01
100,1974-75,22,DET,NBA,SF,34,,277,5.3,14.7,.365,2.9,3.6,.810,3.1,5.0,8.1,2.8,2.2,0.2,,5.7,13.6,,,100,eberhal01
101,1975-76,23,DET,NBA,SF,81,,2066,6.2,15.1,.414,4.2,5.1,.834,3.1,5.5,8.6,1.8,1.9,0.3,,5.5,16.7,,,101,eberhal01
102,1976-77,24,DET,NBA,SF,68,,1219,6.6,13.8,.476,3.9,5.0,.790,2.8,5.2,8.0,1.8,1.6,0.5,,7.1,17.1,,,103,eberhal01
103,1977-78,25,DET,NBA,SF,37,,576,5.5,12.4,.444,3.2,4.7,.672,2.9,5.0,7.9,2.0,1.0,0.3,1.8,5.0,14.2,,105,104,eberhal01
104,1978-79,22,GSW,NBA,SF,13,,72,6.5,15.0,.435,3.9,5.2,.750,0.0,3.3,3.3,1.3,0.7,0.0,1.3,4.6,17.0,,102,107,eppsra01
105,1977-78,23,SEA,NBA,SF,20,,97,7.1,14.6,.484,4.7,8.0,.588,6.1,8.0,14.2,3.3,0.0,2.4,7.6,7.6,18.9,,87,99,flemial01
106,1977-78,23,PHO,NBA,C,64,,887,5.4,11.6,.466,2.4,5.0,.476,4.1,8.1,12.1,6.3,1.1,1.7,4.1,5.1,13.2,,94,97,forreba01
107,1978-79,24,PHO,NBA,C,75,,1243,4.2,9.7,.434,2.2,4.1,.539,3.9,7.3,11.2,5.9,1.0,1.3,3.8,5.4,10.6,,94,103,forreba01
