,season,age,team_id,lg_id,pos,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,id
417,1967-68,29,OAK,ABA,SF,77,1589,15.1,.459,.045,.123,,,12.3,10.1,12.5,20.8,,0.6,0.4,1.0,.031,peterme01
418,1968-69,30,OAK,ABA,SG,51,709,13.8,.512,.008,.057,,,10.6,10.0,13.8,15.1,,0.7,0.7,1.3,.088,peterme01
419,1969-70,31,LAS,ABA,,4,53,4.4,.317,.114,.086,,,10.8,2.7,9.9,28.1,,-0.3,0.0,-0.2,-0.223,peterme01
420,1967-68,23,HSM,ABA,SG,76,1572,10.8,.388,.068,.218,,,7.6,10.3,8.2,24.1,,-3.0,1.8,-1.2,-0.038,pettwje01
421,1968-69,24,HSM,ABA,SG,11,264,2.9,.313,.041,.057,,,4.7,9.2,11.3,19.4,,-1.0,0.2,-0.8,-0.145,pettwje01
422,1967-68,25,TOT,ABA,PF,56,1294,14.2,.480,.000,.538,,,15.0,6.7,18.7,23.4,,1.3,0.5,1.8,.068,portewi01
423,1967-68,25,OAK,ABA,PF,43,1123,14.0,.487,.000,.521,,,14.7,6.6,19.4,23.3,,1.3,0.3,1.6,.070,portewi01
424,1967-68,25,PTP,ABA,PF,13,171,15.4,.442,.000,.649,,,17.1,7.4,13.6,24.0,,0.0,0.2,0.2,.061,portewi01
425,1968-69,26,TOT,ABA,PF,13,148,19.6,.556,.000,.596,,,16.4,5.8,14.4,18.4,,0.3,0.3,0.6,.189,portewi01
426,1968-69,26,MNP,ABA,PF,11,137,17.9,.554,.000,.600,,,15.5,6.3,15.0,17.3,,0.3,0.3,0.5,.182,portewi01
427,1968-69,26,HSM,ABA,PF,2,11,41.3,.571,.000,.571,,,27.0,0.0,10.2,32.0,,0.0,0.0,0.1,.285,portewi01
428,1967-68,27,PTP,ABA,,1,6,20.9,.333,.000,.000,,,42.3,24.1,25.0,24.8,,0.0,0.0,0.0,.007,postljo01
429,1967-68,23,NOB,ABA,SG,29,125,12.3,.515,.000,.450,,,8.9,3.8,20.0,26.4,,0.3,0.1,0.4,.156,praddma01
430,1968-69,24,NOB,ABA,SG,50,323,21.7,.541,.070,.640,,,6.8,11.0,12.5,31.1,,1.0,0.3,1.3,.193,praddma01
431,1967-68,27,KEN,ABA,SF,77,1606,15.4,.506,.009,.442,,,7.7,9.7,11.3,17.9,,2.5,1.7,4.2,.125,rascobo01
432,1968-69,28,KEN,ABA,SG,78,1247,11.6,.485,.031,.350,,,5.2,12.3,14.5,19.1,,0.7,1.2,1.9,.074,rascobo01
433,1969-70,29,KEN,ABA,SG,4,34,-0.1,.291,.048,.333,,,5.2,3.8,7.7,27.8,,-0.2,0.0,-0.2,-0.281,rascobo01
434,1967-68,26,INA,ABA,PG,74,2193,10.7,.478,.214,.297,,,4.9,13.7,17.2,19.0,,2.0,1.6,3.5,.078,raylji01
435,1968-69,27,INA,ABA,PG,27,567,10.6,.515,.455,.337,,,5.1,14.0,17.7,17.7,,0.7,0.6,1.2,.102,raylji01
436,1967-68,24,KEN,ABA,C,52,552,6.9,.348,.006,.354,,,18.5,7.8,16.5,15.0,,-1.0,0.9,-0.1,-0.009,rhineke01
437,1968-69,25,HSM,ABA,C,73,2116,13.0,.442,.002,.421,,,16.1,9.8,13.8,14.7,,-0.7,2.6,1.9,.043,rhineke01
438,1967-68,22,HSM,ABA,PF,23,331,9.1,.413,.000,.519,,,8.9,2.2,11.7,20.6,,-0.3,0.3,0.0,.003,riedybo01
439,1960-61,24,SYR,NBA,SF,68,800,9.9,.406,,.296,,,,,,,,-0.6,0.8,0.2,.014,roberjo01
440,1961-62,25,SYR,NBA,PF,80,1642,10.3,.437,,.313,,,,,,,,-0.2,2.2,1.9,.056,roberjo01
441,1962-63,26,SYR,NBA,PF,33,466,10.1,.414,,.260,,,,,,,,-0.5,0.5,0.0,.004,roberjo01
442,1967-68,31,KEN,ABA,SF,37,564,6.7,.408,.021,.342,,,10.7,3.5,15.2,13.3,,-0.4,0.6,0.2,.019,roberjo01
443,1968-69,23,DNR,ABA,SG,40,294,3.1,.413,.038,.650,,,7.3,6.7,22.6,16.9,,-0.3,0.2,0.0,-0.005,rogerwi01
444,1969-70,26,NOB,ABA,,28,155,14.4,.484,.024,.159,,,9.1,10.6,15.4,25.7,,0.1,0.2,0.3,.083,rookje01
445,1967-68,23,TOT,ABA,SG,26,269,6.1,.400,.139,.259,,,8.7,3.9,15.4,29.5,,-0.5,0.2,-0.3,-0.054,russeru01
446,1967-68,23,DLC,ABA,,16,157,0.2,.370,.163,.225,,,6.9,5.5,20.7,27.1,,-0.4,0.1,-0.3,-0.101,russeru01
447,1967-68,23,KEN,ABA,SG,10,112,14.4,.431,.115,.295,,,11.2,1.6,9.3,32.8,,-0.1,0.1,0.0,.013,russeru01
448,1967-68,22,OAK,ABA,,17,186,6.0,.415,.017,.276,,,10.7,2.9,15.6,15.0,,-0.1,0.0,-0.1,-0.018,salvaal01
449,1968-69,23,NOB,ABA,,22,120,5.7,.370,.014,.314,,,6.9,12.8,12.1,27.9,,-0.4,0.1,-0.2,-0.099,saultgl01
450,1967-68,25,HSM,ABA,PG,21,252,7.6,.455,.085,.383,,,5.0,10.5,17.3,20.0,,0.1,0.3,0.3,.064,schurro01
451,1969-70,22,DLC,ABA,,8,51,-7.1,.368,.000,.400,,,3.4,4.8,31.2,18.1,,-0.1,0.0,-0.1,-0.065,scottwi01
452,1967-68,23,ANA,ABA,,5,41,10.6,.418,.000,.444,,,17.0,3.3,8.5,10.4,,0.0,0.0,0.0,-0.001,scranpa01
453,1967-68,24,ANA,ABA,PG,78,2432,10.6,.469,.442,.266,,,3.9,14.7,14.3,20.2,,1.8,0.6,2.4,.047,selvale01
454,1969-70,26,LAS,ABA,PG,4,17,7.6,.286,.286,.000,,,5.2,45.9,6.7,32.6,,-0.1,0.0,-0.1,-0.305,selvale01
455,1969-70,22,MMF,ABA,SF,22,183,4.7,.373,.181,.181,,,6.7,7.8,10.4,17.0,,-0.4,0.1,-0.3,-0.066,shackly01
456,1967-68,24,DNR,ABA,PG,78,2264,10.6,.485,.032,.429,,,5.0,11.5,15.8,16.5,,2.2,2.8,5.0,.106,simmogr01
457,1968-69,25,DNR,ABA,PG,17,252,4.0,.453,.034,.492,,,4.7,7.3,19.2,13.2,,0.0,0.2,0.1,.027,simmogr01
458,1961-62,23,TOT,NBA,SG,65,1345,9.0,.434,,.440,,,,,,,,-0.1,0.5,0.4,.015,simsbo01
459,1961-62,23,LAL,NBA,SG,19,171,5.9,.414,,.661,,,,,,,,-0.1,0.1,0.0,.007,simsbo01
460,1961-62,23,STL,NBA,SG,46,1174,9.4,.437,,.410,,,,,,,,0.0,0.4,0.4,.016,simsbo01
461,1967-68,29,ANA,ABA,SG,2,19,6.9,.415,.000,.857,,,2.3,14.3,0.0,18.3,,0.0,0.0,0.0,-0.023,simsbo01
462,1968-69,24,DLC,ABA,C,77,2172,10.3,.424,.000,.343,,,17.0,3.6,14.0,14.6,,-1.5,1.7,0.2,.004,smithjo01
463,1969-70,25,TOT,ABA,C,70,1190,7.0,.409,.007,.331,,,15.0,5.8,20.7,12.5,,-1.0,1.0,0.0,.001,smithjo01
464,1969-70,25,DLC,ABA,C,48,966,8.1,.436,.004,.336,,,14.9,6.5,20.3,12.5,,-0.4,0.8,0.4,.018,smithjo01
465,1969-70,25,PTP,ABA,C,6,59,3.3,.345,.000,.750,,,10.8,6.0,20.0,12.2,,-0.1,0.0,-0.1,-0.045,smithjo01
466,1969-70,25,NYA,ABA,C,16,165,1.8,.267,.025,.175,,,17.5,2.2,23.2,12.8,,-0.5,0.2,-0.3,-0.081,smithjo01
467,1967-68,24,MNM,ABA,SF,77,2175,13.0,.432,.008,.373,,,11.7,5.1,9.7,15.7,,-0.6,5.2,4.6,.101,smithsa01
468,1968-69,25,KEN,ABA,SF,62,1421,12.0,.450,.023,.394,,,11.9,6.2,12.0,15.2,,-0.3,1.8,1.4,.048,smithsa01
469,1969-70,26,KEN,ABA,SF,81,2405,12.8,.467,.006,.344,,,13.1,6.0,12.9,14.4,,0.0,3.3,3.3,.066,smithsa01
470,1970-71,27,TOT,ABA,SF,35,302,10.6,.468,.054,.419,,,11.6,7.9,14.7,15.3,,0.0,0.3,0.2,.037,smithsa01
471,1970-71,27,KEN,ABA,SF,25,259,10.6,.498,.027,.479,,,11.4,7.3,16.9,14.6,,0.1,0.2,0.3,.055,smithsa01
472,1970-71,27,UTS,ABA,SF,10,43,11.0,.345,.150,.200,,,12.9,11.7,4.4,19.4,,-0.1,0.1,-0.1,-0.067,smithsa01
473,1965-66,23,BAL,NBA,PG,8,98,10.2,.470,,.256,,,,12.2,,,,0.1,0.1,0.1,.056,somerwi01
474,1967-68,25,HSM,ABA,PG,61,2334,20.5,.533,.103,.441,,,5.7,15.5,11.6,22.9,,6.6,2.8,9.4,.193,somerwi01
475,,26,TOT,ABA,PG,74,3118,16.3,.498,.092,.386,,,4.6,14.0,10.9,23.0,,3.3,1.9,5.3,.081,somerwi01
476,,26,HSM,ABA,PG,43,1793,16.5,.495,.088,.449,,,4.7,14.8,10.7,23.0,,1.8,1.4,3.2,.085,somerwi01
477,,26,NYA,ABA,PG,31,1325,16.2,.501,.097,.304,,,4.6,12.9,11.0,23.1,,1.5,0.6,2.1,.076,somerwi01
478,1970-71,24,PTC,ABA,,11,112,5.2,.407,.000,.773,,,15.1,2.0,23.4,12.0,,-0.1,0.1,0.0,.000,spainke01
