,season,school_name,conf_abbr,g,gs,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_40,id,cbb_id
868,2006-07,UNC,ACC,38,37,909,.545,.520,.470,.161,,,,,,,,10.3,,,1.6,1.4,3.0,.131,ellinwa01,wayne-ellington-1
869,2007-08,UNC,ACC,39,38,1214,.576,.544,.385,.227,,,,7.6,10.8,,0.4,10.5,22.8,,3.0,2.0,5.0,.165,ellinwa01,wayne-ellington-1
870,2008-09,UNC,ACC,38,37,1155,.604,.579,.458,.252,,,,8.3,14.5,,0.4,11.1,21.5,,3.5,2.0,5.5,.189,ellinwa01,wayne-ellington-1
871,1997-98,University of California,Pac-10,26,,,.465,.431,.000,.398,,,,,,,,,,,0.0,1.4,1.4,,elsonfr01,francisco-elson-1
872,1998-99,University of California,Pac-10,32,,632,.502,.513,.000,.327,,,,,,,,16.6,,,0.4,2.7,3.1,.197,elsonfr01,francisco-elson-1
873,1998-99,Fresno State,WAC,32,,988,.546,.563,.007,.402,,,,,,,,18.8,,,1.4,2.2,3.6,.147,elyme01,melvin-ely-1
874,1999-00,Fresno State,WAC,31,,1035,.616,.606,.000,.259,,,,,,,,16.3,,,2.6,1.9,4.5,.173,elyme01,melvin-ely-1
875,2000-01,Fresno State,WAC,33,33,1009,.605,.583,.000,.468,,,,,,,,16.9,,,3.2,3.1,6.3,.248,elyme01,melvin-ely-1
876,2001-02,Fresno State,WAC,28,28,999,.603,.563,.002,.501,,,,,,,,11.9,,,4.2,2.6,6.7,.270,elyme01,melvin-ely-1
877,2000-01,Texas Tech,Big 12,28,0,575,.461,.438,.295,.233,,,,,,,,14.0,,,-0.1,0.5,0.5,.034,emmetan01,andre-emmett-1
878,2001-02,Texas Tech,Big 12,32,31,1048,.554,.529,.060,.337,,,,,,,,10.1,,,2.5,2.0,4.6,.174,emmetan01,andre-emmett-1
879,2002-03,Texas Tech,Big 12,34,33,1258,.540,.508,.064,.321,,,,,,,,9.4,,,2.9,3.3,6.2,.198,emmetan01,andre-emmett-1
880,2003-04,Texas Tech,Big 12,34,33,1259,.583,.543,.091,.457,,,,10.3,10.5,,0.6,10.4,26.5,,4.0,2.3,6.3,.200,emmetan01,andre-emmett-1
881,1995-96,Northwestern,Big Ten,27,25,691,.554,.560,.000,.631,,,,,,,,16.8,,,1.2,0.6,1.8,.105,eschmev01,evan-eschmeyer-1
882,1996-97,Northwestern,Big Ten,29,16,805,.632,.613,.000,.742,,,,,,,,17.3,,,3.6,1.1,4.7,.232,eschmev01,evan-eschmeyer-1
883,1997-98,Northwestern,Big Ten,27,27,1014,.620,.610,.000,.921,,,,,,,,17.8,,,4.8,0.2,5.0,.198,eschmev01,evan-eschmeyer-1
884,1998-99,Northwestern,Big Ten,29,29,938,.649,.584,.000,.886,,,,,,,,17.7,,,5.6,2.5,8.2,.348,eschmev01,evan-eschmeyer-1
885,1992-93,Indiana,Big Ten,35,4,615,.536,.503,.445,.370,,,,,,,,13.6,,,,,,,evansbr01,brian-evans-1
886,1993-94,Indiana,Big Ten,27,,791,.560,.531,.363,.224,,,,,,,,15.4,,,,,,,evansbr01,brian-evans-1
887,1994-95,Indiana,Big Ten,31,,1051,.585,.538,.363,.420,,,,,,,,13.5,,,,,,,evansbr01,brian-evans-1
888,1995-96,Indiana,Big Ten,31,,1156,.577,.513,.333,.428,,,,,,,,11.2,,,3.7,1.8,5.5,.190,evansbr01,brian-evans-1
889,2006-07,Western Kentucky,Sun Belt,32,30,672,.660,.648,.007,.541,,,,,,,,15.0,,,1.7,1.7,3.4,.201,evansje01,jeremy-evans-1
890,2007-08,Western Kentucky,Sun Belt,34,33,716,.659,.656,.148,.414,,,,,,,,19.5,,,1.6,2.7,4.3,.241,evansje01,jeremy-evans-1
891,2008-09,Western Kentucky,Sun Belt,34,33,861,.653,.634,.005,.371,,,,13.2,2.6,,6.4,12.6,15.3,,2.4,2.7,5.2,.241,evansje01,jeremy-evans-1
892,2009-10,Western Kentucky,Sun Belt,34,34,901,.668,.656,.057,.441,332,13.5,17.8,15.6,5.9,1.9,7.2,12.4,16.8,,3.2,1.6,4.9,.217,evansje01,jeremy-evans-1
893,1997-98,Wichita State,MVC,31,,,.486,.456,.440,.289,,,,,,,,,,,0.6,1.9,2.5,,evansma01,maurice-evans-1
894,1998-99,Wichita State,MVC,28,,903,.582,.536,.358,.389,,,,,,,,,,,3.8,0.6,4.3,.193,evansma01,maurice-evans-1
895,2000-01,Texas,Big 12,34,34,1122,.574,.545,.538,.270,,,,,,,,13.1,,,3.0,2.6,5.5,.198,evansma01,maurice-evans-1
896,2000-01,Iowa,Big Ten,35,35,1220,.539,.477,.003,1.061,,,,,,,,22.0,,,2.0,2.7,4.8,.156,evansre01,reggie-evans-1
897,2001-02,Iowa,Big Ten,34,31,1156,.542,.496,.003,.886,,,,19.1,8.0,,1.1,16.1,24.5,,2.1,2.4,4.5,.155,evansre01,reggie-evans-1
898,2008-09,Memphis,CUSA,37,35,1072,.529,.489,.246,.384,,,,10.2,30.0,,2.2,18.2,33.1,,2.4,4.8,7.2,.268,evansty01,tyreke-evans-1
899,2001-02,Duke,ACC,35,0,638,.594,.575,.419,.305,,,,,,,,13.2,,,1.3,1.1,2.3,.146,ewingda01,daniel-ewing-1
900,2002-03,Duke,ACC,33,15,920,.562,.502,.358,.420,,,,6.4,9.1,,0.4,16.0,21.1,,1.8,1.4,3.2,.139,ewingda01,daniel-ewing-1
901,2003-04,Duke,ACC,37,32,1131,.556,.519,.497,.343,,,,4.8,11.1,,0.3,13.2,20.6,,2.2,1.6,3.8,.133,ewingda01,daniel-ewing-1
