,season,age,team_id,lg_id,pos,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,id
118,,29,NOB,ABA,SF,78,3113,21.2,.492,.014,.430,,,10.9,10.2,,9.4,24.9,,5.1,4.2,9.4,.144,moedo01
119,,30,OAK,ABA,SF,75,2528,16.8,.500,.011,.362,,,10.7,8.0,,11.3,21.7,,2.6,2.2,4.8,.091,moedo01
120,,31,CAR,ABA,SF,80,2671,16.6,.483,.027,.318,,,7.6,24.3,,15.6,24.1,,1.6,3.6,5.2,.093,moedo01
121,1970-71,32,VIR,ABA,SF,78,2297,13.3,.516,.011,.297,,,9.4,14.4,,15.7,17.9,,2.1,2.2,4.3,.090,moedo01
122,1971-72,33,VIR,ABA,SF,67,1472,8.5,.482,.022,.311,4.8,9.6,7.2,12.0,,19.2,14.3,,0.2,1.6,1.8,.058,moedo01
123,1968-69,22,TOT,NBA,C,34,272,11.9,.457,,.236,,,,7.9,,,,,0.0,0.2,0.2,.038,niemari01
124,1968-69,22,DET,NBA,C,16,123,11.6,.467,,.213,,,,9.7,,,,,0.0,0.1,0.1,.037,niemari01
125,1968-69,22,MIL,NBA,C,18,149,12.2,.450,,.254,,,,6.4,,,,,0.0,0.1,0.1,.038,niemari01
126,1969-70,23,TOT,TOT,C,69,1484,17.7,.519,.000,.320,,,17.9,9.0,,17.1,21.4,,2.0,2.4,4.4,.143,niemari01
127,1969-70,23,BOS,NBA,C,6,18,6.5,.510,,.400,,,,13.7,,,,,0.0,0.0,0.0,.107,niemari01
128,1969-70,23,CAR,ABA,C,63,1466,17.8,.519,.000,.319,,,17.9,9.0,,17.1,21.4,,2.0,2.4,4.4,.144,niemari01
129,1970-71,24,FLO,ABA,C,51,642,14.1,.533,.000,.249,,,18.6,6.4,,17.6,18.8,,0.8,0.6,1.4,.107,niemari01
130,1971-72,25,DLC,ABA,C,33,524,9.9,.536,.000,.347,8.8,21.2,14.9,6.3,,19.3,11.1,,0.4,0.8,1.2,.109,niemari01
131,1971-72,22,VIR,ABA,,5,34,-2.9,.242,.333,.333,2.6,5.1,3.9,19.0,,22.5,14.1,,-0.1,0.0,-0.1,-0.121,pagetda01
132,1968-69,23,DNR,ABA,PF,77,1819,14.0,.461,.086,.158,,,9.1,3.7,,8.9,23.1,,-0.2,1.4,1.2,.031,piatkwa01
133,1969-70,24,DNR,ABA,PF,74,1302,9.7,.447,.093,.185,,,8.5,4.2,,11.5,18.6,,-0.6,1.5,0.8,.031,piatkwa01
134,1971-72,26,FLO,ABA,PF,6,28,-9.6,.188,.000,.000,3.4,3.5,3.5,9.4,,15.8,26.2,,-0.3,0.0,-0.2,-0.415,piatkwa01
135,1970-71,22,KEN,ABA,SG,78,1213,10.4,.469,.026,.291,,,8.0,18.7,,20.9,17.4,,0.0,0.9,0.9,.037,prattmi01
136,1971-72,23,KEN,ABA,SG,65,889,11.3,.532,.133,.326,7.3,9.0,8.2,14.0,,19.1,18.4,,1.0,1.2,2.2,.121,prattmi01
137,1970-71,22,NYK,NBA,SG,56,251,5.6,.438,,.420,,,5.3,6.0,,,,,-0.1,0.3,0.2,.034,pricemi01
138,1971-72,23,TOT,TOT,SG,10,65,6.9,.449,.000,.478,3.8,14.1,8.0,14.1,,30.8,20.1,,0.0,0.1,0.1,.038,pricemi01
139,1971-72,23,NYK,NBA,SG,6,40,13.6,.504,,.786,,,7.4,19.6,,,,,0.0,0.1,0.1,.121,pricemi01
140,1971-72,23,INA,ABA,SG,4,25,-3.9,.333,.000,.000,3.8,14.1,9.1,5.2,,30.8,20.1,,-0.1,0.0,0.0,-0.096,pricemi01
141,1972-73,24,PHI,NBA,SG,57,751,10.4,.448,,.156,,,6.9,13.3,,,,,-0.2,0.4,0.2,.011,pricemi01
142,1968-69,22,BAL,NBA,SF,28,154,14.9,.471,,.603,,,,10.3,,,,,0.1,0.2,0.3,.092,quickbo01
143,1969-70,23,TOT,NBA,SF,34,364,12.9,.514,,.511,,,,5.2,,,,,0.4,0.2,0.6,.076,quickbo01
144,1969-70,23,BAL,NBA,SF,15,67,15.9,.557,,.643,,,,5.8,,,,,0.2,0.1,0.2,.162,quickbo01
145,1969-70,23,DET,NBA,SF,19,297,12.2,.503,,.477,,,,5.1,,,,,0.2,0.1,0.4,.057,quickbo01
146,1970-71,24,DET,NBA,SF,56,1146,12.4,.535,,.516,,,9.7,6.6,,,,,1.8,0.9,2.6,.110,quickbo01
147,1971-72,25,TOT,TOT,SF,24,261,17.2,.569,.000,.567,10.5,14.3,12.0,6.7,,17.1,17.1,,0.7,0.1,0.8,.148,quickbo01
