,season,age,team_id,lg_id,pos,g,gs,mp,fg_per_poss,fga_per_poss,fg_pct,ft_per_poss,fta_per_poss,ft_pct,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,pf_per_poss,pts_per_poss,,off_rtg,def_rtg,id
202,1976-77,34,CHI,NBA,SF,14,,496,6.6,19.4,.338,3.4,4.5,.761,3.7,3.4,7.1,2.2,0.8,0.2,4.5,16.5,,,102,lovebo01
203,1976-77,34,NYN,NBA,SF,13,,228,9.9,21.5,.462,6.7,7.9,.846,3.0,4.7,7.7,0.8,0.2,0.4,4.7,26.6,,,103,lovebo01
204,1976-77,34,SEA,NBA,SF,32,,450,4.5,12.1,.372,4.1,4.7,.872,2.6,6.1,8.7,2.1,1.3,0.2,5.0,13.1,,,100,lovebo01
205,1973-74,33,NYK,NBA,C,73,,1627,5.5,12.0,.462,1.9,2.7,.698,1.8,8.9,10.7,6.6,0.8,0.7,3.8,13.0,,,94,lucasje01
206,1974-75,23,POR,NBA,PG,48,,792,5.0,11.0,.453,1.7,2.3,.769,0.6,2.8,3.4,10.2,1.2,0.2,4.6,11.7,,,102,lumpkph01
207,1975-76,24,PHO,NBA,PG,34,,370,2.7,8.0,.338,3.2,3.7,.867,0.9,2.0,2.8,5.9,1.8,0.0,3.2,8.6,,,102,lumpkph01
208,1973-74,22,BUF,NBA,SF,30,,112,7.3,16.9,.432,3.8,6.5,.588,3.8,5.8,9.6,1.2,2.7,0.4,11.9,18.4,,,98,macalmi01
209,1973-74,22,KCO,NBA,SG,5,,45,4.0,10.1,.400,4.0,4.0,1.000,0.0,3.0,3.0,2.0,1.0,0.0,4.0,12.1,,,104,manakte01
210,1973-74,29,TOT,NBA,SF,74,,1782,8.8,17.6,.501,3.8,4.5,.855,1.5,4.2,5.7,4.2,1.1,0.6,5.3,21.5,,,103,marinja01
211,1973-74,29,HOU,NBA,SF,47,,1102,8.6,18.2,.474,3.4,4.0,.837,1.2,3.2,4.4,5.0,0.9,0.3,4.9,20.6,,,104,marinja01
212,1973-74,29,BUF,NBA,SF,27,,680,9.2,16.8,.545,4.5,5.1,.877,1.9,5.8,7.7,2.9,1.5,1.1,5.9,22.8,,,100,marinja01
213,1974-75,30,BUF,NBA,SF,81,,2147,7.9,17.4,.455,4.0,4.6,.869,2.2,5.4,7.5,2.8,1.1,0.3,4.9,19.8,,,100,marinja01
214,1975-76,31,TOT,NBA,SF,79,,1909,8.5,20.1,.422,4.0,4.7,.856,1.7,4.5,6.2,3.5,1.1,0.3,4.1,21.0,,,100,marinja01
215,1975-76,31,BUF,NBA,SF,12,,278,6.5,15.0,.436,4.3,5.3,.818,1.6,4.8,6.4,3.7,1.1,1.0,4.8,17.4,,,100,marinja01
216,1975-76,31,CHI,NBA,SF,67,,1631,8.9,21.1,.421,3.9,4.6,.865,1.7,4.5,6.2,3.5,1.1,0.1,3.9,21.7,,,100,marinja01
217,1976-77,32,CHI,NBA,SF,54,,869,9.2,19.8,.465,1.7,2.2,.795,1.5,3.5,5.0,3.4,0.7,0.3,4.7,20.2,,,101,marinja01
218,1973-74,25,SEA,NBA,SF,13,,174,1.8,7.3,.241,0.8,1.8,.429,3.5,5.8,9.3,1.0,1.0,0.8,5.0,4.3,,,100,marshve01
219,1973-74,23,POR,NBA,C,50,,538,8.3,19.1,.435,3.5,5.4,.636,6.1,8.8,14.9,1.6,0.6,2.1,7.4,20.1,,,102,martila01
220,1974-75,24,POR,NBA,C,81,,1372,7.9,17.4,.452,3.3,4.7,.697,4.5,9.1,13.6,2.3,1.1,1.6,8.0,19.1,,,96,martila01
221,1975-76,25,POR,NBA,C,63,,889,5.5,15.1,.361,2.9,3.9,.740,3.4,12.2,15.6,3.6,0.3,1.2,6.3,13.8,,,97,martila01
222,1973-74,28,PHI,NBA,SF,56,,812,8.3,20.0,.414,4.9,5.6,.873,1.4,6.1,7.4,3.4,1.4,0.4,7.5,21.4,,,100,maydo01
223,1974-75,29,KCO,NBA,SF,29,,139,8.9,17.9,.500,3.3,4.0,.833,1.3,3.0,4.3,1.7,1.3,0.7,6.9,21.2,,,100,maydo01
224,1975-76,22,MIL,NBA,PF,65,,948,5.6,12.1,.460,2.7,4.7,.577,4.7,8.1,12.8,1.8,0.4,2.0,7.5,13.8,,,99,mayescl01
225,1976-77,23,TOT,NBA,PF,9,,52,4.3,16.3,.263,2.6,6.0,.429,8.6,5.1,13.7,2.6,0.0,3.4,10.3,11.2,,,102,mayescl01
226,1976-77,23,IND,NBA,PF,2,,21,6.4,14.9,.429,2.1,8.5,.250,8.5,6.4,14.9,6.4,0.0,4.3,10.7,14.9,,,102,mayescl01
227,1976-77,23,BUF,NBA,PF,2,,7,0.0,19.2,.000,12.8,19.2,.667,0.0,19.2,19.2,0.0,0.0,0.0,12.8,12.8,,,96,mayescl01
228,1976-77,23,POR,NBA,PF,5,,24,3.7,16.7,.222,0.0,0.0,,11.1,0.0,11.1,0.0,0.0,3.7,9.3,7.4,,,104,mayescl01
229,1975-76,27,NYK,NBA,SG,13,,64,12.2,33.1,.370,2.2,2.2,1.000,0.7,5.0,5.8,2.9,0.0,0.0,13.0,26.7,,,103,mayfike01
230,1973-74,23,HOU,NBA,SG,4,,13,3.5,13.9,.250,0.0,0.0,,3.5,17.4,20.9,7.0,0.0,0.0,10.4,7.0,,,97,mccrapa01
231,1976-77,26,CHI,NBA,SG,9,,119,7.3,19.0,.383,4.4,7.3,.611,2.4,4.0,6.5,5.6,2.4,0.0,6.9,19.0,,,98,mccrapa01
232,1974-75,22,BOS,NBA,SF,62,,395,8.0,20.8,.385,3.2,4.2,.757,2.3,5.5,7.8,2.7,0.9,0.6,6.6,19.2,,,97,mcdongl01
233,1975-76,23,BOS,NBA,SF,75,,1019,8.4,20.1,.419,1.8,2.5,.714,2.5,3.5,5.9,3.0,1.7,0.9,5.4,18.6,,,98,mcdongl01
234,1976-77,24,MIL,NBA,SF,9,,79,4.5,19.1,.235,1.7,2.2,.750,4.5,2.2,6.7,3.9,2.2,0.0,6.2,10.7,,,105,mcdongl01
235,1973-74,30,MIL,NBA,SG,79,,1910,7.8,16.5,.475,1.7,1.9,.900,0.8,2.5,3.3,5.7,1.0,0.2,3.1,17.4,,,99,mcglojo01
236,1974-75,31,MIL,NBA,SG,79,,1853,8.2,16.5,.496,1.6,1.8,.875,0.6,2.4,3.0,6.5,1.3,0.2,3.6,18.0,,,102,mcglojo01
237,1975-76,32,MIL,NBA,SG,33,,336,8.7,20.4,.426,1.2,1.4,.900,0.4,1.9,2.3,5.2,1.1,0.0,2.5,18.6,,,104,mcglojo01
238,1973-74,22,NYK,NBA,SG,2,,10,9.3,18.6,.500,0.0,0.0,,0.0,9.3,9.3,4.6,0.0,0.0,9.3,18.6,,,96,mcguial02
239,1973-74,25,SEA,NBA,SF,69,,2056,4.7,12.1,.389,1.4,2.3,.607,2.4,5.3,7.7,2.0,1.1,0.6,3.8,10.8,,,100,mcintke01
240,1974-75,26,SEA,NBA,SF,6,,101,2.7,13.1,.207,2.7,4.1,.667,2.7,4.1,6.8,3.2,1.8,1.4,5.4,8.1,,,99,mcintke01
241,1973-74,29,HOU,NBA,SG,11,,112,2.8,9.7,.292,2.4,3.2,.750,1.2,5.2,6.5,2.4,1.2,0.0,6.9,8.1,,,102,mckenst01
242,1973-74,26,HOU,NBA,PF,77,,1754,8.5,19.9,.427,2.3,3.6,.643,2.7,8.7,11.3,3.2,1.4,2.0,6.0,19.3,,,98,meelycl01
243,1974-75,27,HOU,NBA,PF,48,,753,9.7,21.6,.447,4.2,5.8,.723,3.4,6.8,10.2,2.8,1.3,1.3,7.2,23.5,,,99,meelycl01
244,1975-76,28,TOT,NBA,PF,34,,313,7.5,19.1,.394,4.8,6.9,.688,3.2,10.8,14.0,2.7,2.0,1.2,8.8,19.8,,,96,meelycl01
245,1975-76,28,HOU,NBA,PF,14,,174,8.4,21.3,.395,2.4,4.2,.563,3.2,10.5,13.7,2.6,2.4,1.1,8.2,19.2,,,97,meelycl01
246,1975-76,28,LAL,NBA,PF,20,,139,6.4,16.3,.392,7.7,10.2,.750,3.2,11.2,14.4,2.9,1.6,1.3,9.6,20.5,,,95,meelycl01
247,1973-74,23,PHO,NBA,PG,69,,1251,7.1,15.4,.460,3.2,3.7,.860,1.6,3.4,5.0,5.0,1.4,0.3,3.0,17.4,,,104,melchga01
248,1974-75,24,PHO,NBA,SG,68,,1529,7.0,16.2,.430,3.4,4.2,.809,1.4,4.3,5.6,4.7,1.4,0.4,3.5,17.4,,,101,melchga01
249,1973-74,25,NYK,NBA,SG,78,,2079,6.1,12.0,.508,2.3,3.6,.644,2.8,3.5,6.3,3.6,1.4,0.2,3.6,14.5,,,97,meminde01
250,1974-75,26,ATL,NBA,PG,80,,2177,4.8,10.4,.466,3.5,5.5,.639,1.7,2.7,4.4,8.2,2.4,0.2,3.3,13.2,,,101,meminde01
251,1975-76,27,ATL,NBA,SG,68,,1418,5.1,12.4,.409,3.3,5.0,.658,2.1,2.8,4.9,7.3,1.8,0.3,3.8,13.4,,,104,meminde01
252,1976-77,28,NYK,NBA,SG,32,,254,2.6,6.3,.417,2.3,4.0,.565,2.1,2.4,4.5,5.1,1.4,0.2,3.0,7.5,,,104,meminde01
253,1973-74,27,TOT,NBA,C,78,,946,5.7,11.5,.500,1.9,3.0,.629,3.8,9.8,13.6,3.1,1.2,2.3,4.7,13.3,,,97,mooreot01
254,1973-74,27,HOU,NBA,C,13,,313,4.6,10.0,.464,0.6,1.2,.500,2.9,9.2,12.1,2.6,1.4,2.6,5.3,9.8,,,97,mooreot01
255,1973-74,27,KCO,NBA,C,65,,633,6.3,12.2,.515,2.5,3.9,.648,4.3,10.0,14.3,3.4,1.1,2.2,4.4,15.1,,,97,mooreot01
256,1974-75,28,TOT,NBA,C,42,,1066,4.9,10.8,.450,1.9,2.8,.667,3.8,9.8,13.6,3.4,0.9,1.6,6.1,11.6,,,97,mooreot01
257,1974-75,28,DET,NBA,C,2,,11,4.3,17.4,.250,4.3,8.7,.500,0.0,8.7,8.7,4.3,0.0,4.3,8.7,13.0,,,98,mooreot01
258,1974-75,28,NOJ,NBA,C,40,,1055,4.9,10.7,.453,1.9,2.8,.672,3.8,9.8,13.6,3.4,0.9,1.6,6.1,11.6,,,97,mooreot01
259,1975-76,29,NOJ,NBA,C,81,,2407,5.5,12.6,.436,2.7,4.2,.637,3.0,11.8,14.8,4.0,1.6,2.5,4.7,13.6,,,92,mooreot01
260,1976-77,30,NOJ,NBA,C,81,,2084,4.1,10.2,.405,2.0,2.9,.679,3.7,10.0,13.7,3.9,1.2,2.5,5.0,10.2,,,96,mooreot01
261,1973-74,31,GSW,NBA,SG,77,,2498,9.5,20.2,.473,3.0,3.4,.875,1.5,3.4,4.9,5.4,1.2,0.4,3.8,22.1,,,102,mullije01
262,1974-75,32,GSW,NBA,SG,66,,1141,9.2,20.1,.455,2.8,3.4,.816,1.8,3.0,4.8,6.0,2.2,0.5,4.8,21.1,,,100,mullije01
263,1975-76,33,GSW,NBA,SG,29,,311,8.3,17.1,.483,3.3,4.1,.793,1.7,2.9,4.6,5.6,2.0,0.1,5.1,19.8,,,98,mullije01
264,1973-74,33,BOS,NBA,SF,82,,1748,9.1,17.9,.508,5.4,6.8,.788,2.2,6.4,8.6,4.0,0.5,0.3,4.7,23.5,,,97,nelsodo01
265,1974-75,34,BOS,NBA,SF,79,,2052,9.3,17.3,.539,5.8,7.0,.827,2.8,7.5,10.3,4.0,0.7,0.3,5.3,24.5,,,96,nelsodo01
266,1975-76,35,BOS,NBA,SF,75,,943,8.3,18.0,.462,6.0,7.7,.789,2.7,6.0,8.7,3.7,0.7,0.3,5.5,22.7,,,99,nelsodo01
267,1975-76,20,SEA,NBA,SG,52,,650,8.7,21.7,.402,3.6,5.3,.688,0.7,2.4,3.1,3.6,1.4,0.4,4.3,21.1,,,102,oleynfr01
268,1976-77,21,SEA,NBA,PG,50,,516,7.1,19.4,.363,3.4,4.6,.736,1.1,2.8,3.9,5.2,1.1,0.3,4.2,17.5,,,103,oleynfr01
269,1973-74,23,PHO,NBA,SF,17,,101,9.1,16.9,.538,4.8,6.1,.786,0.4,3.5,3.9,6.5,2.2,0.0,2.6,23.0,,,102,owensji01
270,1974-75,24,PHO,NBA,SF,41,,432,6.0,15.4,.386,1.3,1.7,.750,0.7,3.8,4.6,5.2,1.7,0.2,2.9,13.2,,,101,owensji01
271,1973-74,25,CLE,NBA,C,76,,1910,6.3,14.5,.437,1.7,2.7,.616,5.4,9.6,14.9,4.0,1.2,1.4,4.7,14.3,,,98,pattest01
272,1974-75,26,CLE,NBA,C,81,,1269,6.1,14.6,.416,1.8,2.8,.658,4.2,8.2,12.4,3.5,0.8,0.8,4.8,13.9,,,98,pattest01
273,1975-76,27,TOT,NBA,C,66,,918,4.4,11.5,.382,1.8,2.8,.630,4.2,7.7,11.9,4.2,0.8,0.8,4.8,10.5,,,98,pattest01
274,1975-76,27,CLE,NBA,C,14,,136,5.2,13.2,.395,2.8,3.5,.800,2.4,7.3,9.7,3.1,1.0,1.7,3.8,13.2,,,97,pattest01
275,1975-76,27,CHI,NBA,C,52,,782,4.2,11.1,.379,1.6,2.7,.591,4.5,7.8,12.2,4.3,0.8,0.7,5.0,10.0,,,99,pattest01
276,1973-74,25,CAP,NBA,SF,2,,8,0.0,5.6,.000,5.6,11.3,.500,5.6,5.6,11.3,11.3,0.0,0.0,0.0,5.6,,,99,patteto01
277,,25,POR,NBA,PG,73,,2800,11.7,24.3,.481,4.6,5.4,.853,1.0,2.3,3.3,5.0,1.3,0.2,3.1,28.0,,,107,petrige01
278,1974-75,26,POR,NBA,PG,80,,3109,8.9,19.5,.456,3.8,4.6,.839,0.6,2.5,3.1,6.3,1.2,0.2,3.2,21.6,,,102,petrige01
279,1975-76,27,POR,NBA,SG,72,,2557,9.5,20.5,.461,4.8,5.8,.829,0.7,2.3,2.9,5.8,1.4,0.1,3.4,23.8,,,102,petrige01
280,1973-74,22,KCO,NBA,C,2,,4,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,108,ratlimi01
281,1973-74,31,NYK,NBA,C,19,,500,7.8,17.1,.457,3.9,4.9,.792,4.4,8.7,13.1,2.8,1.1,1.9,4.5,19.5,,,93,reedwi01
282,1973-74,23,NYK,NBA,C,17,,57,10.6,23.6,.448,9.8,13.8,.706,7.3,4.9,12.2,2.4,0.0,0.0,4.9,30.9,,,99,rikerto01
