,season,school_name,conf_abbr,g,gs,mp,per,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_40,bpm-dum,obpm,dbpm,bpm,id,cbb_id
1103,2010-11,USC,Pac-10,34,34,1118,17.4,.550,.552,.000,.464,331,11.8,21.8,16.8,1.1,0.7,3.8,14.7,17.1,,1.7,2.0,3.7,.132,,-0.5,2.6,2.1,stephal01,alex-stepheson-1
1104,2010-11,Gonzaga,WCC,34,0,531,14.4,.604,.555,.570,.370,157,0.7,8.7,5.0,23.9,3.5,0.4,23.9,14.6,,0.9,0.9,1.9,.140,,2.7,2.0,4.7,stockda01,david-stockton-1
1105,2011-12,Gonzaga,WCC,33,1,554,10.6,.516,.490,.531,.510,149,0.7,6.9,3.9,25.7,2.9,0.4,29.1,15.8,,0.3,0.8,1.1,.082,,0.1,1.0,1.1,stockda01,david-stockton-1
1106,2012-13,Gonzaga,WCC,35,2,654,15.1,.482,.470,.441,.263,177,1.0,10.2,5.7,29.7,5.0,0.2,24.5,14.0,,0.9,1.4,2.3,.143,,2.2,4.1,6.3,stockda01,david-stockton-1
1107,2013-14,Gonzaga,WCC,36,36,1002,13.6,.526,.472,.325,.425,324,1.1,8.1,4.9,25.6,3.2,0.6,22.3,16.8,,1.2,1.7,2.9,.116,,1.0,3.2,4.3,stockda01,david-stockton-1
1108,2011-12,Tennessee,SEC,17,14,436,20.6,.544,.529,.025,.546,159,12.1,22.7,17.4,6.3,2.2,5.3,18.9,22.2,,0.6,0.9,1.5,.136,,-0.1,4.5,4.4,stokeja01,jarnell-stokes-1
1109,2012-13,Tennessee,SEC,33,33,952,26.0,.545,.528,.000,.688,423,17.3,24.4,20.7,10.9,1.5,4.1,15.4,24.6,,2.7,1.7,4.4,.186,,4.0,3.6,7.6,stokeja01,jarnell-stokes-1
1110,2013-14,Tennessee,SEC,37,37,1199,27.6,.576,.531,.000,.613,575,15.3,23.1,19.2,13.7,1.4,2.9,13.7,24.6,,4.2,2.6,6.8,.227,,5.8,4.3,10.0,stokeja01,jarnell-stokes-1
1111,2015-16,Maryland,Big Ten,35,22,807,26.6,.610,.568,.000,.456,408,12.4,14.5,13.6,4.2,1.3,7.1,12.9,26.7,,2.6,1.5,4.1,.204,,2.4,2.9,5.3,stonedi01,diamond-stone-1
1112,2007-08,UTEP,CUSA,33,25,720,,.439,.390,.415,.646,,,,10.1,26.3,,0.5,31.8,10.3,,-0.1,1.8,1.7,.095,,,,,stoneju01,julyan-stone-1
1113,2008-09,UTEP,CUSA,37,36,1247,,.485,.407,.377,.679,,,,,,,,27.4,,,0.5,2.7,3.2,.102,,,,,stoneju01,julyan-stone-1
1114,2009-10,UTEP,CUSA,33,33,1015,15.0,.524,.480,.336,.617,278,1.3,16.7,9.4,29.3,2.9,1.7,26.1,12.9,,1.3,2.4,3.7,.145,,,,,stoneju01,julyan-stone-1
1115,2010-11,UTEP,CUSA,35,35,1279,17.3,.554,.542,.252,.688,374,3.9,18.9,11.8,26.6,2.4,1.9,19.5,13.7,,2.3,3.0,5.3,.165,,2.5,5.1,7.6,stoneju01,julyan-stone-1
1116,2010-11,Ohio State,Big Ten,37,36,1172,30.3,.591,.545,.029,.651,615,14.1,26.0,20.1,7.4,2.0,2.0,9.9,27.0,,5.4,2.9,8.3,.283,,5.6,3.5,9.1,sullija01,jared-sullinger-1
1117,2011-12,Ohio State,Big Ten,37,36,1123,30.2,.591,.538,.091,.519,610,12.4,25.8,18.9,8.6,2.3,4.0,11.5,27.9,,4.8,3.0,7.9,.280,,6.3,5.3,11.6,sullija01,jared-sullinger-1
1118,2015-16,Purdue,Big Ten,34,34,875,15.3,.533,.498,.255,.333,341,7.5,27.3,18.1,13.2,0.8,0.9,21.6,24.0,,0.7,1.9,2.6,.119,,-0.1,4.1,4.0,swanica01,caleb-swanigan-1
1119,2016-17,Purdue,Big Ten,35,35,1139,26.2,.620,.572,.202,.499,640,10.7,32.6,22.5,18.7,0.8,2.5,18.5,28.1,,3.7,2.6,6.4,.224,,5.0,5.6,10.6,swanica01,caleb-swanigan-1
1120,2016-17,Duke,ACC,29,27,966,22.0,.566,.507,.321,.381,467,4.8,19.7,12.6,12.4,2.3,3.2,15.0,26.2,,2.3,1.8,4.1,.169,,3.5,4.1,7.5,tatumja01,jayson-tatum-1
1121,2013-14,Texas,Big 12,35,35,1055,14.8,.478,.398,.052,.549,455,1.0,10.6,5.8,26.3,2.0,0.3,15.2,24.7,,1.4,1.3,2.6,.100,,0.7,1.2,1.9,taylois01,isaiah-taylor-1
1122,2014-15,Texas,Big 12,24,24,757,17.0,.491,.421,.143,.371,329,1.5,9.4,5.7,33.4,1.9,0.3,16.5,26.9,,1.4,1.2,2.6,.137,,2.6,1.4,4.0,taylois01,isaiah-taylor-1
1123,2015-16,Texas,Big 12,33,33,1019,21.4,.525,.445,.161,.517,528,1.5,8.9,5.2,35.3,1.7,0.7,11.4,27.0,,3.1,1.1,4.3,.167,,5.7,1.7,7.4,taylois01,isaiah-taylor-1
1124,2008-09,Vanderbilt,SEC,31,31,805,,.559,.518,.151,.513,,,,13.8,15.4,,1.2,17.0,25.5,,1.9,1.4,3.3,.166,,,,,tayloje03,jeffery-taylor-1
1125,2009-10,Vanderbilt,SEC,33,33,883,21.6,.562,.495,.037,.630,436,8.8,12.6,10.8,13.4,2.3,1.4,16.0,25.9,,2.4,1.4,3.8,.173,,,,,tayloje03,jeffery-taylor-1
