,season,school_name,conf_abbr,g,gs,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,id,cbb_id
1315,1984-85,Pepperdine,WCAC,29,29,971,.569,,,.270,,,,,,,,13.6,,whiteer01,eric-white-1
1316,1985-86,Pepperdine,WCAC,30,,985,.591,,,.237,,,,,,,,11.4,,whiteer01,eric-white-1
1317,1986-87,Pepperdine,WCAC,30,30,1067,.510,.472,.002,.323,,,,,,,,11.9,,whiteer01,eric-white-1
1318,1985-86,Louisiana Tech,Southland,34,,697,.558,,,.557,,,,,,,,11.1,,whitera01,randy-white-1
1319,1986-87,Louisiana Tech,Southland,30,29,782,.604,.577,.004,.516,,,,,,,,11.3,,whitera01,randy-white-1
1320,1987-88,Louisiana Tech,ASC,31,31,1009,.651,.645,.042,.534,,,,,,,,17.2,,whitera01,randy-white-1
1321,1988-89,Louisiana Tech,ASC,32,,1026,.656,.621,.093,.561,,,,,,,,17.6,,whitera01,randy-white-1
1322,1983-84,Tennessee,SEC,34,16,796,.522,,,.430,,,,,,,,15.3,,whiteto01,tony-white-1
1323,1984-85,Tennessee,SEC,36,26,1117,.563,,,.375,,,,,,,,14.6,,whiteto01,tony-white-1
1324,1985-86,Tennessee,SEC,28,28,1031,.555,,,.288,,,,,,,,11.0,,whiteto01,tony-white-1
1325,1986-87,Tennessee,SEC,29,29,1090,.576,.515,.128,.345,,,,,,,,10.1,,whiteto01,tony-white-1
1326,1987-88,Northern Illinois,Ind,13,,124,.425,.407,.349,.140,,,,,,,,,,whitedo01,donald-whiteside-1
1327,1988-89,Northern Illinois,Ind,28,,969,.602,.564,.590,.331,,,,,,,,,,whitedo01,donald-whiteside-1
1328,1989-90,Northern Illinois,Ind,28,,1019,.561,.527,.564,.296,,,,,,,,,,whitedo01,donald-whiteside-1
1329,1990-91,Northern Illinois,Mid-Cont,31,,1089,.610,.569,.549,.364,,,,,,,,,,whitedo01,donald-whiteside-1
1330,1984-85,Long Beach State,PCAA,27,,641,.469,.438,.270,.211,,,,,,,,26.1,,wileymo01,morlon-wiley-1
1331,1985-86,Long Beach State,PCAA,29,,802,.510,.475,.130,.227,,,,,,,,16.8,,wileymo01,morlon-wiley-1
1332,1986-87,Long Beach State,PCAA,28,24,783,.493,.452,.336,.247,,,,,,,,16.2,,wileymo01,morlon-wiley-1
1333,1987-88,Long Beach State,PCAA,29,,977,.605,.580,.322,.261,,,,,,,,12.8,,wileymo01,morlon-wiley-1
1334,1988-89,Oklahoma State,Big 8,30,29,951,.529,.500,.321,.315,,,,,,,,18.8,,willico01,corey-williams-1
1335,1989-90,Oklahoma State,Big 8,31,30,769,.496,.468,.285,.199,,,,,,,,17.3,,willico01,corey-williams-1
1336,1990-91,Oklahoma State,Big 8,32,1,714,.598,.572,.214,.406,,,,,,,,15.5,,willico01,corey-williams-1
1337,1991-92,Oklahoma State,Big 8,35,35,1059,.546,.493,.425,.421,,,,,,,,18.6,,willico01,corey-williams-1
1338,1987-88,St. John's (NY),Big East,28,,662,.539,.513,.000,.603,,,,,,,,15.0,,willija01,jayson-williams-1
1339,1988-89,St. John's (NY),Big East,31,,1036,.603,.573,.005,.464,,,,,,,,14.5,,willija01,jayson-williams-1
1340,1989-90,St. John's (NY),Big East,13,13,377,.562,.538,.015,.611,,,,,,,,15.5,,willija01,jayson-williams-1
1341,1989-90,Stetson,A-Sun,32,,,.496,.520,.000,.274,,,,,,,,,,willilo01,lorenzo-williams-1
1342,1990-91,Stetson,A-Sun,31,,,.559,.540,.000,.281,,,,,,,,,,willilo01,lorenzo-williams-1
1343,1984-85,Baylor,SWC,28,19,787,.550,,,.458,,,,,,,,14.1,,willimi02,micheal-williams-1
1344,1985-86,Baylor,SWC,22,,,.525,,,.436,,,,,,,,21.4,,willimi02,micheal-williams-1
1345,1986-87,Baylor,SWC,31,31,1112,.548,.501,.169,.485,,,,,,,,17.2,,willimi02,micheal-williams-1
1346,1987-88,Baylor,SWC,34,,1262,.581,.542,.199,.540,,,,,,,,16.9,,willimi02,micheal-williams-1
1347,1983-84,Georgetown,Big East,37,9,764,.484,,,.330,,,,,,,,18.9,,willire01,reggie-williams-1
1348,1984-85,Georgetown,Big East,35,,1043,.544,,,.319,,,,,,,,17.5,,willire01,reggie-williams-1
1349,1985-86,Georgetown,Big East,32,32,1013,.562,,,.347,,,,,,,,13.2,,willire01,reggie-williams-1
1350,1986-87,Georgetown,Big East,34,34,1205,.589,.548,.343,.329,,,,,,,,9.8,,willire01,reggie-williams-1
