,season,age,team_id,lg_id,pos,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,bpm-dum,obpm,dbpm,bpm,vorp,id
13933,1967-68,23,TOT,NBA,C-PF,74,1788,10.9,.485,,.378,,,,10.8,,,,,,0.8,1.6,2.5,.066,,,,,,mueller01
13934,1967-68,23,CHI,NBA,PF,35,815,9.4,.421,,.349,,,,12.1,,,,,,-0.5,0.8,0.3,.019,,,,,,mueller01
13935,1967-68,23,LAL,NBA,C,39,973,12.2,.543,,.406,,,,9.7,,,,,,1.4,0.8,2.1,.106,,,,,,mueller01
13936,1968-69,24,TOT,NBA,PF,78,1355,10.7,.414,,.422,,,,18.1,,,,,,-0.9,1.7,0.9,.031,,,,,,mueller01
13937,1968-69,24,CHI,NBA,PF,52,872,9.3,.372,,.402,,,,18.6,,,,,,-1.1,1.4,0.3,.017,,,,,,mueller01
13938,1968-69,24,SEA,NBA,PF,26,483,13.0,.472,,.450,,,,17.1,,,,,,0.2,0.3,0.6,.055,,,,,,mueller01
13939,1969-70,25,TOT,NBA,PF,78,2353,12.2,.518,,.407,,,,11.3,,,,,,2.0,1.1,3.2,.064,,,,,,mueller01
13940,1969-70,25,SEA,NBA,PF,4,69,10.2,.417,,.281,,,,11.6,,,,,,-0.1,0.0,-0.1,-0.045,,,,,,mueller01
13941,1969-70,25,DET,NBA,PF,74,2284,12.2,.523,,.414,,,,11.3,,,,,,2.1,1.1,3.2,.068,,,,,,mueller01
13942,1970-71,26,DET,NBA,PF,52,1224,9.1,.438,,.350,,,8.8,12.0,,,,,,-0.4,1.0,0.6,.024,,,,,,mueller01
13943,1971-72,27,DET,NBA,PF,42,605,9.1,.390,,.376,,,11.5,12.3,,,,,,-0.9,0.1,-0.8,-0.064,,,,,,mueller01
13944,1972-73,28,TOT,TOT,PF,38,285,3.5,.328,.000,.202,8.1,14.1,10.4,13.8,,,27.7,14.3,,-0.7,0.3,-0.5,-0.080,,,,,,mueller01
13945,1972-73,28,DET,NBA,PF,21,80,5.2,.337,,.226,,,8.5,10.7,,,,,,-0.2,0.1,-0.2,-0.103,,,,,,mueller01
13946,1972-73,28,VIR,ABA,PF,17,205,2.9,.322,.000,.189,8.1,14.1,11.2,14.9,,,27.7,14.3,,-0.5,0.2,-0.3,-0.071,,,,,,mueller01
