,season,school_name,conf_abbr,g,gs,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,id,cbb_id
476,1983-84,Colorado,Big 8,29,29,1120,.561,,,.410,,,,,,18.4,,humphja01,jay-humphries-1
477,1982-83,Georgetown,Big East,32,32,858,.539,,,.493,,,,,,21.7,,jacksmi02,michael-jackson-1
478,1983-84,Georgetown,Big East,31,18,833,.573,,,.456,,,,,,24.9,,jacksmi02,michael-jackson-1
479,1984-85,Georgetown,Big East,36,,980,.488,,,.321,,,,,,23.8,,jacksmi02,michael-jackson-1
480,1985-86,Georgetown,Big East,32,32,947,.552,,,.365,,,,,,22.4,,jacksmi02,michael-jackson-1
481,1980-81,UCLA,Pac-10,27,1,753,.464,,,.383,,,,,,26.3,,jacksra01,ralph-jackson-1
482,1981-82,UCLA,Pac-10,27,27,875,.493,,,.357,,,,,,21.6,,jacksra01,ralph-jackson-1
483,1982-83,UCLA,Pac-10,29,27,844,.513,,,.327,,,,,,24.1,,jacksra01,ralph-jackson-1
484,1983-84,UCLA,Pac-10,28,28,1030,.541,,,.372,,,,,,19.3,,jacksra01,ralph-jackson-1
485,1977-78,Notre Dame,Ind,28,,378,.568,,,.333,,,,,,,,jackstr01,tracy-jackson-1
486,1978-79,Notre Dame,Ind,30,1,714,.548,,,.350,,10.9,10.5,,0.6,12.1,,jackstr01,tracy-jackson-1
487,1979-80,Notre Dame,Ind,28,28,877,.554,,,.448,,,,,,,,jackstr01,tracy-jackson-1
488,1980-81,Notre Dame,Ind,28,28,942,.579,,,.230,,,,,,,,jackstr01,tracy-jackson-1
489,1982-83,Alabama,SEC,32,,834,.510,,,.406,,,,,,22.5,,johnsbu01,buck-johnson-1
490,1983-84,Alabama,SEC,28,28,1042,.557,,,.427,,,,,,14.9,,johnsbu01,buck-johnson-1
491,1984-85,Alabama,SEC,33,33,1172,.592,,,.418,,,,,,15.7,,johnsbu01,buck-johnson-1
492,1985-86,Alabama,SEC,29,,1082,.623,,,.381,,,,,,15.0,,johnsbu01,buck-johnson-1
493,1977-78,Illinois,Big Ten,27,3,469,.446,,,.115,,,,,,9.2,,johnsed03,eddie-johnson-2
494,1978-79,Illinois,Big Ten,30,27,786,.423,,,.121,,,,,,12.6,,johnsed03,eddie-johnson-2
495,1979-80,Illinois,Big Ten,35,35,1215,.482,,,.207,,,,,,9.2,,johnsed03,eddie-johnson-2
496,1980-81,Illinois,Big Ten,29,29,1009,.519,,,.185,,,,,,9.9,,johnsed03,eddie-johnson-2
497,1976-77,Wake Forest,ACC,30,29,1044,.482,,,.210,,,,,,16.2,,johnsfr01,frank-johnson-1
498,1977-78,Wake Forest,ACC,29,29,999,.522,,,.311,,4.7,16.2,,0.0,17.9,,johnsfr01,frank-johnson-1
499,1978-79,Wake Forest,ACC,27,26,957,.525,,,.353,,,,,,16.0,,johnsfr01,frank-johnson-1
500,1979-80,Wake Forest,ACC,5,3,109,.381,,,.313,,,,,,31.6,,johnsfr01,frank-johnson-1
501,1980-81,Wake Forest,ACC,29,29,945,.566,,,.323,,,,,,18.7,,johnsfr01,frank-johnson-1
502,1981-82,USC,Pac-10,28,,,.513,,,.341,,,,,,,,johnske01,ken-johnson-1
503,1982-83,USC,Pac-10,1,1,30,.154,,,.167,,,,,,13.4,,johnske01,ken-johnson-1
504,1983-84,Michigan State,Big Ten,19,11,475,.518,,,.386,,17.8,1.2,,3.9,15.2,,johnske01,ken-johnson-1
505,1984-85,Michigan State,Big Ten,28,28,990,.581,,,.467,,,,,,19.6,,johnske01,ken-johnson-1
506,1981-82,LSU,SEC,26,6,390,.544,,,.594,,,,,,,,johnsst02,steffond-johnson-1
507,1982-83,LSU,SEC,26,,349,.481,,,.542,,,,,,,,johnsst02,steffond-johnson-1
508,1983-84,LSU,SEC,18,6,198,.530,,,.439,,,,,,28.2,,johnsst02,steffond-johnson-1
509,1985-86,San Diego State,WAC,17,16,528,.508,,,.529,,,,,,16.0,,johnsst02,steffond-johnson-1
510,1976-77,Oregon State,Pac-8,28,,616,.611,,,.341,,,,,,16.4,,johnsst03,steve-johnson-2
511,1977-78,Oregon State,Pac-8,3,,62,.586,,,.289,,,,,,16.3,,johnsst03,steve-johnson-2
512,1978-79,Oregon State,Pac-10,27,,724,.658,,,.567,,,,,,16.7,,johnsst03,steve-johnson-2
513,1979-80,Oregon State,Pac-10,30,,711,.696,,,.488,,,,,,,,johnsst03,steve-johnson-2
514,1980-81,Oregon State,Pac-10,28,,716,.741,,,.552,,,,,,14.4,,johnsst03,steve-johnson-2
515,1978-79,Wake Forest,ACC,27,24,700,.572,,,.290,,,,,,17.2,,johnsji01,jim-johnstone-1
516,1979-80,Wake Forest,ACC,26,24,709,.602,,,.331,,,,,,14.5,,johnsji01,jim-johnstone-1
517,1980-81,Wake Forest,ACC,28,28,769,.629,,,.414,,,,,,13.1,,johnsji01,jim-johnstone-1
518,1981-82,Wake Forest,ACC,30,29,847,.642,,,.341,,,,,,15.2,,johnsji01,jim-johnstone-1
519,1981-82,Georgetown,Big East,37,1,643,.513,,,.353,,,,,,16.3,,jonesan01,anthony-jones-1
520,1982-83,Georgetown,Big East,25,10,504,.511,,,.258,,,,,,19.4,,jonesan01,anthony-jones-1
521,1983-84,UNLV,PCAA,,,,,,,,,,,,,,,jonesan01,anthony-jones-1
522,1984-85,UNLV,PCAA,31,31,976,.510,,,.184,,,,,,13.0,,jonesan01,anthony-jones-1
523,1985-86,UNLV,PCAA,38,38,1259,.554,,,.217,,,,,,8.7,,jonesan01,anthony-jones-1
524,1980-81,Louisville,Metro,27,,538,.532,,,.648,,,,,,19.8,,jonesch02,charles-jones-1
525,1981-82,Louisville,Metro,31,7,553,.635,,,.902,,,,,,24.0,,jonesch02,charles-jones-1
526,1982-83,Louisville,Metro,36,36,1088,.592,,,.757,,,,,,16.9,,jonesch02,charles-jones-1
527,1983-84,Louisville,Metro,35,35,1210,.558,,,.604,,,,,,18.2,,jonesch02,charles-jones-1
528,1979-80,Vanderbilt,SEC,25,,556,.602,,,.477,,,,,,,,joneshu01,hutch-jones-1
529,1980-81,Vanderbilt,SEC,29,,584,.688,,,.455,,,,,,,,joneshu01,hutch-jones-1
530,1981-82,Vanderbilt,SEC,28,,948,.620,,,.500,,,,,,,,joneshu01,hutch-jones-1
531,1979-80,St. Bonaventure,EAA,27,,,.571,,,.413,,,,,,,,jonesma02,mark-jones-1
532,1980-81,St. Bonaventure,EAA,27,,,.527,,,.244,,,,,,,,jonesma02,mark-jones-1
533,1981-82,St. Bonaventure,EAA,28,28,1034,.529,,,.346,,,,,,18.6,,jonesma02,mark-jones-1
534,1982-83,St. Bonaventure,A-10,30,,1027,.582,.531,.042,.528,,,,,,16.0,,jonesma02,mark-jones-1
535,1979-80,Wichita State,MVC,29,,604,.441,,,.201,,,,,,18.5,,jonesoz01,ozell-jones-1
536,1980-81,Wichita State,MVC,28,23,576,.481,,,.257,,,,,,19.2,,jonesoz01,ozell-jones-1
537,1982-83,Cal State Fullerton,PCAA,29,24,758,.542,,,.336,,,,,,16.3,,jonesoz01,ozell-jones-1
538,1983-84,Cal State Fullerton,PCAA,29,29,929,.537,,,.440,,,,,,18.4,,jonesoz01,ozell-jones-1
539,1981-82,UNC,ACC,34,,1079,.562,,,.302,,,,,,12.2,,jordami01,michael-jordan-1
540,1982-83,UNC,ACC,36,,1113,.595,.567,.144,.317,,,,,,11.1,,jordami01,michael-jordan-1
541,1983-84,UNC,ACC,31,,915,.587,,,.324,,,,,,11.5,,jordami01,michael-jordan-1
542,1982-83,Georgia Tech,ACC,2,0,32,.504,.471,.000,.353,,,,,,9.2,,josepyv01,yvon-joseph-1
543,1983-84,Georgia Tech,ACC,29,27,851,.573,,,.533,,,,,,17.8,,josepyv01,yvon-joseph-1
544,1984-85,Georgia Tech,ACC,34,33,1051,.605,,,.459,,13.5,5.9,,0.3,22.0,,josepyv01,yvon-joseph-1
545,1981-82,Santa Clara,WCAC,25,7,357,.511,,,.432,,,,,,16.6,,keeliha01,harold-keeling-1
546,1982-83,Santa Clara,WCAC,28,,895,.507,,,.405,,,,,,13.4,,keeliha01,harold-keeling-1
547,1983-84,Santa Clara,WCAC,32,,1065,.541,,,.354,,,,,,15.2,,keeliha01,harold-keeling-1
548,1984-85,Santa Clara,WCAC,29,29,997,.557,,,.433,,,,,,10.0,,keeliha01,harold-keeling-1
549,1979-80,Ohio State,Big Ten,29,27,938,.478,,,.252,,,,,,21.8,,kellocl01,clark-kellogg-1
550,1980-81,Ohio State,Big Ten,27,27,971,.522,,,.284,,,,,,18.7,,kellocl01,clark-kellogg-1
551,1981-82,Ohio State,Big Ten,30,30,1102,.547,,,.191,,,,,,12.5,,kellocl01,clark-kellogg-1
552,1982-83,Notre Dame,Ind,27,24,739,.643,,,.673,,,,,,,,kemptti01,tim-kempton-1
553,1983-84,Notre Dame,Ind,26,,775,.572,,,.897,,,,,,,,kemptti01,tim-kempton-1
554,1984-85,Notre Dame,Ind,27,,671,.527,,,.617,,,,,,,,kemptti01,tim-kempton-1
555,1985-86,Notre Dame,Ind,28,28,617,.586,,,.457,,,,,,,,kemptti01,tim-kempton-1
556,1977-78,Maryland,ACC,28,26,781,.521,,,.251,,,,,,18.1,,kingal01,albert-king-1
557,1978-79,Maryland,ACC,28,24,857,.522,,,.209,,,,,,15.3,,kingal01,albert-king-1
558,1979-80,Maryland,ACC,31,31,970,.593,,,.304,,,,,,13.4,,kingal01,albert-king-1
559,1980-81,Maryland,ACC,31,31,1075,.540,,,.253,,,,,,18.6,,kingal01,albert-king-1
560,1982-83,South Florida,Sun Belt,32,8,586,.470,,,.664,,,,,,24.1,,kitchcu01,curtis-kitchen-1
561,1983-84,South Florida,Sun Belt,28,28,728,.499,,,.533,,,,,,21.1,,kitchcu01,curtis-kitchen-1
562,1984-85,South Florida,Sun Belt,30,30,897,.514,,,.472,,,,,,20.0,,kitchcu01,curtis-kitchen-1
563,1985-86,South Florida,Sun Belt,28,,913,.494,,,.494,,,,,,24.0,,kitchcu01,curtis-kitchen-1
564,1979-80,BYU,WAC,21,,192,.334,,,.521,,,,,,21.1,,kitegr01,greg-kite-1
565,1980-81,BYU,WAC,32,,1002,.494,,,.457,,,,,,19.7,,kitegr01,greg-kite-1
566,1981-82,BYU,WAC,30,,853,.468,,,.385,,,,,,20.3,,kitegr01,greg-kite-1
567,1982-83,BYU,WAC,29,,896,.462,,,.374,,,,,,15.6,,kitegr01,greg-kite-1
568,1980-81,Notre Dame,Ind,29,11,291,.660,,,.320,,,,,,,,kleinjo01,joe-kleine-1
569,1981-82,Arkansas,SWC,,,,,,,,,,,,,,,kleinjo01,joe-kleine-1
